username,acctdesc,location,following,followers,totaltweets,usercreatedts,tweetcreatedts,retweetcount,text,hashtags,mentioned_users,cleaned_text,sentences_tone,document_tones,sadness,tentative,analytical,joy,confident,fear,anger
VforVictoryish,everything you can imagine is real...,united states,275,179,1156,2009-06-13 03:37:43,2020-06-20 03:00:58,25257,"Trump's rally in Tulsa is indoors, with no social distancing and no mask requirements—all in violation of CDC guidelines. Trump is willing to spread the COVID-19 virus in order to hear some cheers. He is a direct threat to the health of the American people. He must be defeated.",[],[],trump's rally tulsa indoors social distance mask requirements—all violation cdc guideline trump willing spread virus order hear cheer direct threat health american people must defeat,,"[{'score': 0.674728, 'tone_id': 'confident', 'tone_name': 'Confident'}, {'score': 0.642915, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",,,1.0,,1.0,,
ekbensah,d exec director -- @afcftapolicygh •bilg'l ecowas/au policy xprt• @africainfocus14•ex-@ipss_addis•@aprmcomms•md 4 @ecowasbiznews•gh rep @agenda2063n ▪#fakenews,"brussels-accra, ghana, ecowas",6195,5631,43444,2009-04-17 12:29:38,2020-06-22 02:30:51,8,"@NEPAD_Mayaki calls on Africa to take its on narrative in communicating the Covid 19 pandemic,speaking @NEPAD_Agency Communication for west Africa. Webinar.@AUC_CAADP @AGRAAlliance @MwanjaSusan @Agnes_Kalibata @JosefaSacko @aajonet @afaasinfo @EAFFinfo @IFAD @EUAgri @USAID @FAO https://t.co/08nhn3bvJE",[],"['@NEPAD_Mayaki', '@NEPAD_Agency', '@AUC_CAADP', '@AGRAAlliance', '@MwanjaSusan', '@Agnes_Kalibata', '@JosefaSacko', '@aajonet', '@afaasinfo', '@EAFFinfo', '@IFAD', '@EUAgri', '@USAID', '@FAO']","call africa take narrative communicating covid pandemic,speaking communication west africa webinar",,[],,,,,,,
PamWill55855770,"venezuelan supporter, conservative and fighter for freedom. #dittohead",n.a,2141,2050,53384,2019-02-23 19:28:35,2020-06-20 01:54:49,3,"@catturd2 @TexanStevenM If we have learned anything from this Corona virus scamdemic, It's that we can do without millionaire athletes and celebrities.",[],"['@catturd2', '@TexanStevenM']",learn anything corona virus scamdemic without millionaire athlete celebrity,,"[{'score': 0.856622, 'tone_id': 'tentative', 'tone_name': 'Tentative'}, {'score': 0.724236, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",,1.0,1.0,,,,
gatormateo78,"protecting the environment is first and foremost - social progressive, fiscal moderate","seattle, wa",4111,1531,1109,2020-03-27 04:10:09,2020-06-22 01:20:28,2524,"Governors— we have data now that contact tracing &amp; testing REDUCE the spread of COVID-19.

It’s June 21. What are you going to do about it? https://t.co/xusAgY4JV1",[],[],governors— data contact trace amp test reduce spread june go,,[],,,,,,,
Shirley36258228,n.a,n.a,85,111,33443,2020-02-13 01:32:07,2020-06-20 02:57:31,272,@SidneyPowell1 @GovAbbott @realDonaldTrump @DallasGOP @JudgeClayJ @DallasCountyHe1 @DallasCounty @molmccann @market_raven @GOPbuzz1 I live in a blue state with mandatory masks and guess what—- I STILL GOT COVID. They do NOT work and I feel it made me more vulnerable to the virus by lowering my immune system. It is not healthy breathing in your CO2. This is government control and nothing less.,[],"['@SidneyPowell1', '@GovAbbott', '@realDonaldTrump', '@DallasGOP', '@JudgeClayJ', '@DallasCountyHe1', '@DallasCounty', '@molmccann', '@market_raven', '@GOPbuzz1']",live blue state mandatory mask guess what— still get covid work feel make vulnerable virus lower immune system healthy breathing government control nothing less,,"[{'score': 0.741891, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.615352, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]",1.0,1.0,,,,,
abdo2001_ga,libya is most beautiful country in the world there is tripoli a wonderful city and i love animals in my life and i adore  @elissakh and @realmadrid   ❤,tripoli.libya,259,255,10635,2016-08-30 14:28:59,2020-06-22 01:40:29,9,The way Johnny Depp can't visit children in hospitals as Captain Jack Sparrow because of the Corona virus so he does it virtually we stan!!! https://t.co/BT3WkhzZaM,[],[],way johnny depp can't visit child hospital captain jack sparrow corona virus virtually stan,,[],,,,,,,
dee_mariaxo,#blacklivesmatter.|19.|virgo♍️|insta - dee_mariax|here to make tweets and friends🤝|mummy❤️,"enfield, london",491,281,6643,2014-07-11 19:24:32,2020-06-22 03:42:34,26578,Lack of taste is a symptom of covid-19 https://t.co/o2txxNFLn3,[],[],lack taste symptom,,"[{'score': 0.955445, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",,,1.0,,,,
_marwabnb_,✨,"montréal, québec",100,362,29048,2014-11-04 23:37:59,2020-06-22 03:19:20,26238,Lack of taste is a symptom of covid-19 https://t.co/o2txxNFLn3,[],[],lack taste symptom,,"[{'score': 0.955445, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",,,1.0,,,,
Ddez1981,"a father, a brother, music lover n sports fanatic",lb california,135,41,1621,2012-04-25 22:19:12,2020-06-22 03:37:35,229,"#BREAKING Largest single-day increase in worldwide #coronavirus cases reported on Sunday, WHO says https://t.co/Q38FDmp5Dc","['breaking', 'coronavirus']",[],large single-day increase worldwide case report sunday say,,"[{'score': 0.506763, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.780589, 'tone_id': 'confident', 'tone_name': 'Confident'}]",,,1.0,,1.0,,
drshahrul80,emergency physician | ed intensivist | resuscitationist | member of the malaysian society of intensive care | married to @milazulkiflee | #foamed #foamcc #foam,malaysia,4987,4406,219187,2015-04-05 08:22:41,2020-06-21 02:42:38,11,Respiratory Virus Infections: Understanding COVID-19 https://t.co/9LIdtrg1vV,[],[],respiratory virus infection understand,,"[{'score': 0.920855, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",,,1.0,,,,
johnkyut27,20 • 5'6 • rzl • just be yourself ❤️🤗,"cardona, calabarzon",1680,1698,9130,2018-12-13 05:28:38,2020-06-22 03:21:32,576,"Nasa mahigit 30,000 na ang COVID-19 cases sa bansa. Realtalk: hindi ito dahil pasaway ang mga Pinoy. Given the proper safeguards &amp; correct measures, Filipinos will cooperate for our health &amp; safety.

What we need are effective &amp; intensified health measures that we...",[],[],"nasa mahigit na ang case sa bansa realtalk hindi ito dahil pasaway ang mga pinoy give proper safeguard amp correct measure filipinos cooperate health amp safety.

what need effective amp intensify health measure","[{'sentence_id': 0, 'text': 'nasa mahigit na ang case sa bansa realtalk hindi ito dahil pasaway ang mga pinoy give proper safeguard amp correct measure filipinos cooperate health amp safety.', 'tones': [{'score': 0.796903, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 1, 'text': 'what need effective amp intensify health measure', 'tones': [{'score': 0.698105, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.968931, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}]","[{'score': 0.840077, 'tone_id': 'confident', 'tone_name': 'Confident'}, {'score': 0.968135, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",,,1.0,,1.0,,
carlatodd2,"#resister #patriotic #democrat love my husband @rabideauscott , am struggling with #amyliodosis , #lupus, #fibromyalgia, and advanced #arthritis. pray 4 change!","california, usa",4995,2427,248507,2012-03-23 16:23:31,2020-06-22 03:42:08,251,"Warren on Trump's ‘egregious’ conflicts of Interest in COVID-19 response: “In a crisis with more than a hundred thousand Americans dead and tens of millions unemployed, White House decisions should be driven by science, rather than by personal profit.” https://t.co/e860iAawRf",[],[],warren trump's ‘egregious’ conflict interest response “in crisis hundred thousand american dead ten million unemployed white house decision drive science rather personal profit.”,,"[{'score': 0.636458, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",,,1.0,,,,
amberraynnn,18,"san antonio, tx",448,406,12926,2016-11-13 18:09:25,2020-06-22 02:32:59,1,Someone I know has a cousin who tested positive from covid 19 and is still out and about. Like how selfish is that? Blows my damn mind.,[],[],someone know cousin test positive covid still like selfish blow damn mind,,"[{'score': 0.58006, 'tone_id': 'anger', 'tone_name': 'Anger'}]",,,,,,,1.0
SarahJones420,18+ loves to role play so hmu,n.a,163,54,80,2020-05-28 01:46:22,2020-06-21 02:43:41,368,"Trump-

Blacks: Thugs
Mexicans: Rapists
Muslims: Not welcome in America
Dreamers: National security threat
African countries: Shitholes
White Supremacists: Very fine people
Coronavirus: Chinese Virus
Black Lives Matter protesters: Domestic terrorists

Trump: Racist",[],[],"trump-

blacks thugs
mexicans rapists
muslims welcome america
dreamers national security threat
african country shitholes
white supremacist fine people
coronavirus chinese virus
black live matter protester domestic terrorists

trump racist","[{'sentence_id': 0, 'text': 'trump-', 'tones': []}, {'sentence_id': 1, 'text': '', 'tones': []}, {'sentence_id': 2, 'text': 'blacks thugs', 'tones': []}, {'sentence_id': 3, 'text': 'mexicans rapists', 'tones': [{'score': 0.572904, 'tone_id': 'anger', 'tone_name': 'Anger'}]}, {'sentence_id': 4, 'text': 'muslims welcome america', 'tones': []}, {'sentence_id': 5, 'text': 'dreamers national security threat', 'tones': [{'score': 0.756676, 'tone_id': 'fear', 'tone_name': 'Fear'}]}, {'sentence_id': 6, 'text': 'african country shitholes', 'tones': []}, {'sentence_id': 7, 'text': 'white supremacist fine people', 'tones': []}, {'sentence_id': 8, 'text': 'coronavirus chinese virus', 'tones': []}, {'sentence_id': 9, 'text': 'black live matter protester domestic terrorists', 'tones': []}, {'sentence_id': 10, 'text': '', 'tones': []}, {'sentence_id': 11, 'text': 'trump racist', 'tones': []}]",[],,,,,,,
kkaramesh,n.a,n.a,107,179,31452,2012-03-21 02:09:47,2020-06-21 02:46:29,781,"President Trump used a racist term during his Tulsa rally to refer to coronavirus, which he has previously referred to as the ""Chinese virus"" https://t.co/tdyUBGckdo",[],[],president trump use racist term tulsa rally refer coronavirus previously refer chinese virus,,"[{'score': 0.874319, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",,,1.0,,,,
AlexisAmezqui11,"conservative, god fearing, trump supporter, legal immigrant. i love this country to the bone",n.a,718,701,6621,2020-03-07 00:14:09,2020-06-22 01:39:37,0,@JoeBiden Wow! Less than 24 hours later! That Chinese virus really hates Trump supporters! 🤣,[],['@JoeBiden'],wow le hour later chinese virus really hat trump supporter,,"[{'score': 0.687768, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",,,1.0,,,,
meyerjef,"biden 2020, d senate & d house 2020, af intel, high tech, map lover, lifelong student & fan of a more representative government. facts & science matter. he/him.","san francisco, ca",3595,602,26077,2008-03-04 05:22:36,2020-06-22 01:38:36,28590,"Kentucky has used Covid-19 as an excuse to slash polling places for Tuesday’s vital primary to defeat #MitchMcConnell. There were 3500+. Now, there are 200. 

Jefferson County, where half the Black voters are, will have 1 polling place for 610,000+ voters.
https://t.co/mTJT1dSVP9",['mitchmcconnell'],[],"kentucky use excuse slash polling place tuesday’s vital primary defeat 

jefferson county half black voter poll place voters.
","[{'sentence_id': 0, 'text': 'kentucky use excuse slash polling place tuesday’s vital primary defeat ', 'tones': []}, {'sentence_id': 1, 'text': '', 'tones': []}, {'sentence_id': 2, 'text': 'jefferson county half black voter poll place voters.', 'tones': []}]",[],,,,,,,
yungdialectic,i was born from an egg. the first thing i saw was violence. alt: @dark_harpy,united states,854,1019,12670,2017-11-09 03:46:38,2020-06-22 01:20:24,806,"NYC friends: My neighbor passed away due to covid-19 &amp; his two cats are in need of a new, loving home. Suzi (f, 11) &amp; Sammy (m, 8) are healthy, adorable kitties. It would be ideal for them to be adopted together. Please let me know if you're interested, or spread the word https://t.co/rsjTdaU6uX",[],[],nyc friend neighbor pass away due amp two cat need new love home suzi amp sammy healthy adorable kitty would ideal adopt together please let know interested spread word,,"[{'score': 0.683034, 'tone_id': 'joy', 'tone_name': 'Joy'}]",,,,1.0,,,
jeneferpitou,"25 • ain’t no thing like me, ‘cept me • #1 anakin stan nintendo’s biggest simp • horror buff • eng / esp / 日本語 ok！ • no racists or homophobes allowed • acab",n.a,257,329,75859,2012-06-15 04:10:09,2020-06-23 01:07:47,41211,The reason why America isn’t recovering from COVID-19 as quickly as other countries is because we are a country that values individualism over collectivism. Nobody here wants to do anything that is a minor inconvenience to them in order to protect their neighbors.,[],[],reason america isn’t recover quickly country country value individualism collectivism nobody want anything minor inconvenience order protect neighbor,,"[{'score': 0.5538, 'tone_id': 'tentative', 'tone_name': 'Tentative'}, {'score': 0.769135, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",,1.0,1.0,,,,
MagicTalkRadio,n.a,live across new zealand,220,26036,26504,2009-05-13 22:09:15,2020-06-23 01:09:15,3,#BREAKING: Two new cases of COVID-19 in New Zealand https://t.co/bX4xfqmVcx https://t.co/vGo1ILZsNG,['breaking'],[],two new case new zealand,,"[{'score': 0.687768, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",,,1.0,,,,
mtzarisss,insta: mtzarisss💚 new video,n.a,150,142,946,2018-07-30 04:25:20,2020-06-23 01:28:49,45161,The reason why America isn’t recovering from COVID-19 as quickly as other countries is because we are a country that values individualism over collectivism. Nobody here wants to do anything that is a minor inconvenience to them in order to protect their neighbors.,[],[],reason america isn’t recover quickly country country value individualism collectivism nobody want anything minor inconvenience order protect neighbor,,"[{'score': 0.5538, 'tone_id': 'tentative', 'tone_name': 'Tentative'}, {'score': 0.769135, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",,1.0,1.0,,,,
sandyt916,n.a,"san jose, ca",183,20,1909,2008-08-31 03:10:31,2020-06-22 01:39:11,13647,6 members of Trump's Tulsa advance staff have tested positive for COVID-19. Each may have infected hundreds with the virus already.,[],[],member trump's tulsa advance staff test positive may infect hundred virus already,,[],,,,,,,
greggo1685,n.a,n.a,1292,1097,88500,2012-06-13 20:40:13,2020-06-20 01:56:47,22873,"Trump's rally in Tulsa is indoors, with no social distancing and no mask requirements—all in violation of CDC guidelines. Trump is willing to spread the COVID-19 virus in order to hear some cheers. He is a direct threat to the health of the American people. He must be defeated.",[],[],trump's rally tulsa indoors social distance mask requirements—all violation cdc guideline trump willing spread virus order hear cheer direct threat health american people must defeat,,"[{'score': 0.674728, 'tone_id': 'confident', 'tone_name': 'Confident'}, {'score': 0.642915, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",,,1.0,,1.0,,
chaoliangzhang,n.a,n.a,98,24,319,2014-12-14 04:59:34,2020-06-21 03:44:56,0,@HunterJoy9 @america_1776___ @Delegree @CapehartJ So you think it is okay to name the virus the way that Asian Americans could be potentially hurt and treated unequally? There have been more and more attacks on Asians since he has stated to call it Chinese virus. I just wanna peace and love.,[],"['@HunterJoy9', '@america_1776___', '@Delegree', '@CapehartJ']",think okay name virus way asian american could potentially hurt treat unequally attack asian since state call chinese virus wanna peace love,,"[{'score': 0.550975, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.659112, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]",1.0,1.0,,,,,
Rodo2bike,"《saber para servir 《servir bien》
al combate de los iiff & iuf",n.a,456,157,3971,2014-08-30 00:24:50,2020-06-22 02:33:27,34,"""Op-Ed: Don’t just cheer wildland firefighters as heroes. Give them affordable healthcare""
#wildfires
https://t.co/dl2HSFzk6q",['wildfires'],[],"op-ed don’t cheer wildland firefighter hero give affordable healthcare""

",,"[{'score': 0.565013, 'tone_id': 'joy', 'tone_name': 'Joy'}]",,,,1.0,,,
Johnny_872,n.a,"san diego, ca",62,58,2296,2016-08-02 21:00:52,2020-06-23 01:08:07,41079,The reason why America isn’t recovering from COVID-19 as quickly as other countries is because we are a country that values individualism over collectivism. Nobody here wants to do anything that is a minor inconvenience to them in order to protect their neighbors.,[],[],reason america isn’t recover quickly country country value individualism collectivism nobody want anything minor inconvenience order protect neighbor,,"[{'score': 0.5538, 'tone_id': 'tentative', 'tone_name': 'Tentative'}, {'score': 0.769135, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",,1.0,1.0,,,,
arizonasandherb,just keep swimming  hbg 🏁,somwhere blessed ,68,690,106777,2011-06-26 22:03:13,2020-06-22 01:40:55,23745,Lack of taste is a symptom of covid-19 https://t.co/o2txxNFLn3,[],[],lack taste symptom,,"[{'score': 0.955445, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",,,1.0,,,,
subcmndnt,n.a,texas ,1015,311,1280,2010-07-23 20:04:43,2020-06-23 01:08:55,50,"*Greg Abbott re-opens Texas*
*Covid-19 cases rise*
Greg Abbott: https://t.co/FWtqHBMiCw",[],[],"greg abbott re-opens case rise*
greg abbott","[{'sentence_id': 0, 'text': 'greg abbott re-opens case rise*', 'tones': [{'score': 0.687768, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 1, 'text': 'greg abbott', 'tones': []}]","[{'score': 0.747663, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.752665, 'tone_id': 'confident', 'tone_name': 'Confident'}]",,,1.0,,1.0,,
DFVtweets,a family-friendly minecraft & roblox youtuber who's dream is to entertain! 🧡,🏡 #stayathome,7,4,11,2020-06-01 10:22:34,2020-06-22 03:38:37,19,"COVID-19 is still having a major impact, but we have made enough progress to reopen Ireland in 4 phases rather than 5.
By working together we have saved lives &amp; limited the impact of the disease. Thank you.

Here are the main things you should know about the weeks ahead: https://t.co/49EZoGIY9i",[],[],"still major impact make enough progress reopen ireland phase rather work together save live amp limited impact disease thank you.

here main thing know week ahead","[{'sentence_id': 0, 'text': 'still major impact make enough progress reopen ireland phase rather work together save live amp limited impact disease thank you.', 'tones': [{'score': 0.595044, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.687768, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 1, 'text': '', 'tones': []}, {'sentence_id': 2, 'text': 'here main thing know week ahead', 'tones': [{'score': 0.842108, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}]","[{'score': 0.569465, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.89196, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",,,1.0,1.0,,,
privateur,n.a,n.a,224,41,756,2009-02-25 12:54:57,2020-06-22 01:19:23,3,"In the spirit of scientific debate, Dr. Andrew Kaufman joins Spiro for a second time to respond to a Reuters fact-check of his previous comments. https://t.co/IKLldGbass https://t.co/Sb9HrXkaJT",[],[],spirit scientific debate dr andrew kaufman join spiro second time respond reuters fact-check previous comment,,[],,,,,,,
TheSunCameOut,so no one told you life was gonna be this way... | #olicity #perlatiago | just another fan girl,"toronto, canada",294,289,25330,2014-03-10 06:16:11,2020-06-22 02:32:27,0,"I was supposed to see #Hamilton for the first time ever back March, but because of Covid-19 they had to cancel the Toronto run...

Although this isn’t live theatre, I’m SO excited to watch Hamilton for the first time ever.. and with the original cast!!!!

#Hamilfilm https://t.co/FnILB6eGjz","['hamilton', 'hamilfilm']",[],"suppose see first time ever back march cancel toronto run...

although isn’t live theatre i’m excite watch hamilton first time ever original cast!!!!

","[{'sentence_id': 0, 'text': 'suppose see first time ever back march cancel toronto run...', 'tones': [{'score': 0.631093, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}, {'sentence_id': 1, 'text': '', 'tones': []}, {'sentence_id': 2, 'text': 'although isn’t live theatre i’m excite watch hamilton first time ever original cast!!!!', 'tones': [{'score': 0.7896, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.509368, 'tone_id': 'confident', 'tone_name': 'Confident'}, {'score': 0.589295, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}]","[{'score': 0.653849, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.530786, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",,,1.0,1.0,,,
FrankInStuff,n.a,"north carolina, usa",131,78,234,2012-02-23 04:28:35,2020-06-20 03:09:29,22,"""..Rensselaer Co. Exec. McLaughlin told county-run Van Rensselaer Manor defy order&amp;refuse COVID-positive patients..320-bed home hasn’t had single coronavirus death. Diamond Hill, private 120-bed nursing home in same county, obeyed&amp;saw 18 die from virus."" https://t.co/aif9fi1q43",[],[],rensselaer co exec mclaughlin tell county-run van rensselaer manor defy order&amp;refuse covid-positive home hasn’t single coronavirus death diamond hill private nursing home county obeyed&amp;saw die virus,,"[{'score': 0.624401, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]",1.0,,,,,,
asap_tino123,n.a,n.a,123,100,943,2020-03-30 20:03:01,2020-06-21 03:15:45,42632,"Trump's rally in Tulsa is indoors, with no social distancing and no mask requirements—all in violation of CDC guidelines. Trump is willing to spread the COVID-19 virus in order to hear some cheers. He is a direct threat to the health of the American people. He must be defeated.",[],[],trump's rally tulsa indoors social distance mask requirements—all violation cdc guideline trump willing spread virus order hear cheer direct threat health american people must defeat,,"[{'score': 0.642915, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.674728, 'tone_id': 'confident', 'tone_name': 'Confident'}]",,,1.0,,1.0,,
radhat,"navy vet.
speech is not, nor has it ever been, free.  there is a price to be paid and the cost is, more often than not, more than you care to bear.",california,2069,1322,16116,2009-01-06 17:28:16,2020-06-20 01:53:24,617,"I’m pretty sure her Corona Virus shit it’s pants and called 911 begging to be removed from her system. 

 https://t.co/GS2RmneARa",[],[],"i’m pretty sure corona virus shit it’s pant call beg removed system 

",,"[{'score': 0.500425, 'tone_id': 'anger', 'tone_name': 'Anger'}]",,,,,,,1.0
kotele_,kass ❀ carpe noctem ☾ ew ur planet is gross 𓃭,"las vegas, nv",1041,1968,101393,2012-06-12 04:18:09,2020-06-22 01:40:40,929,"NYC friends: My neighbor passed away due to covid-19 &amp; his two cats are in need of a new, loving home. Suzi (f, 11) &amp; Sammy (m, 8) are healthy, adorable kitties. It would be ideal for them to be adopted together. Please let me know if you're interested, or spread the word https://t.co/rsjTdaU6uX",[],[],nyc friend neighbor pass away due amp two cat need new love home suzi amp sammy healthy adorable kitty would ideal adopt together please let know interested spread word,,"[{'score': 0.683034, 'tone_id': 'joy', 'tone_name': 'Joy'}]",,,,1.0,,,
elikdh,"truth, equality, justice, and inclusion.  believe in the constitution. retweets not an endorsement but maybe just to create thoughts and discussion...",n.a,2347,361,47604,2013-10-28 11:51:06,2020-06-22 02:10:14,1023,Texas Gov. Greg Abbott announces he’ll hold briefing about COVID-19 with limit press coverage on Monday at 2 pm. The Houston Chronicle and San Antonio Express-News once again not allowed to be there to ask questions despite both cities seeing huge spike in ICUs. https://t.co/Fsjmb5mPTD,[],[],texas gov greg abbott announces he’ll hold briefing limit press coverage monday pm houston chronicle san antonio express-news allow ask question despite city see huge spike icu,,"[{'score': 0.793846, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",,,1.0,,,,
ColburnWillis,"optical engineer, board of advisers, sinfonia da camera","champaign, il",214,16,3771,2015-10-14 02:42:54,2020-06-22 02:14:20,813,"President Trump just admitted that he directed officials to slow testing.

And even though there's a spike in COVID-19 cases in many states:

The Trump administration still hasn’t yet spent nearly $14 billion we fought to provide for testing and tracing!

https://t.co/OHN2IxZ7Rz",[],[],"president trump admit directed official slow testing.

and even though there's spike case many states:

the trump administration still hasn’t yet spend nearly billion fought provide test tracing!

","[{'sentence_id': 0, 'text': 'president trump admit directed official slow testing.', 'tones': [{'score': 0.751512, 'tone_id': 'confident', 'tone_name': 'Confident'}]}, {'sentence_id': 1, 'text': ""and even though there's spike case many states:"", 'tones': [{'score': 0.525791, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.920855, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 2, 'text': '', 'tones': []}, {'sentence_id': 3, 'text': 'the trump administration still hasn’t yet spend nearly billion fought provide test tracing!', 'tones': [{'score': 0.716301, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}]","[{'score': 0.634524, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.709421, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",1.0,,1.0,,,,
Encino_Mann,"if you've ever wondered what you'd have done if you'd lived in nazi germany - well now you know, because you're doing right now. #resist",socal,10510,10436,70104,2012-03-07 03:22:57,2020-06-22 01:18:54,649,"🙋‍♂️Raise your hand if you want Congressional Hearings into Trump's admission that he said ""slow the testing down"".
Sounds like he tried to cover up the extent of COVID-19.",[],[],"‍raise hand want congressional hearing trump's admission say slow test down"".
sounds like try cover extent","[{'sentence_id': 0, 'text': '\u200draise hand want congressional hearing trump\'s admission say slow test down"".', 'tones': []}, {'sentence_id': 1, 'text': 'sounds like try cover extent', 'tones': [{'score': 0.95988, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}]","[{'score': 0.926143, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]",,1.0,,,,,
junmarms,"no master but law, no guide but conscience, no aim but justice - justice j.b.l reyes",republic of the philippines,263,335,12221,2009-05-31 10:11:31,2020-06-20 03:08:11,0,"Narrative: Covid came from China

China: No, it came from somewhere else

News (this week):
1. Beijing's covid outbreak appears to be imported from Europe
2. Virus already in Italy around the same time it was first reported in China

#SoftPower #ChinaLiedPeopleDied","['softpower', 'chinaliedpeopledied']",[],"narrative covid come china

china come somewhere else

news beijing's covid outbreak appear import virus already italy around time first report china

","[{'sentence_id': 0, 'text': 'narrative covid come china', 'tones': []}, {'sentence_id': 1, 'text': '', 'tones': []}, {'sentence_id': 2, 'text': 'china come somewhere else', 'tones': [{'score': 0.88939, 'tone_id': 'tentative', 'tone_name': 'Tentative'}, {'score': 0.762356, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 3, 'text': '', 'tones': []}, {'sentence_id': 4, 'text': ""news beijing's covid outbreak appear import virus already italy around time first report china"", 'tones': [{'score': 0.845297, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}]","[{'score': 0.972662, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]",,1.0,,,,,
MegaUtd7,let it flow,"maryland, usa",613,51,6989,2019-08-06 00:25:42,2020-06-20 03:15:52,0,.@drsanjaygupta is a fraud!!! So if you have massive BLM protests with millions of people moving elbow to elbow without observing social distancing protocols it’s won’t spread COVID-19 but when 1million Trump supporters gather they spread the virus. Shame on you.,[],['@drsanjaygupta'],fraud massive blm protest million people move elbow elbow without observe social distancing protocol it’s won’t spread trump supporter gather spread virus shame,,[],,,,,,,
MBillings98,n.a,"south carolina, usa",212,109,10895,2017-02-28 00:37:19,2020-06-21 02:28:48,735,"Why did the Washington Post all of a sudden remove the daily China Virus death tracker from its front page now that COVID deaths are decreasing nationwide?

I guess it just doesn’t fit their narrative anymore.

🤔",[],[],"washington post sudden remove daily china virus death tracker front page covid death decrease nationwide?

i guess doesn’t fit narrative anymore.

🤔","[{'sentence_id': 0, 'text': 'washington post sudden remove daily china virus death tracker front page covid death decrease nationwide?', 'tones': [{'score': 0.511428, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}, {'sentence_id': 1, 'text': 'i guess doesn’t fit narrative anymore.', 'tones': [{'score': 0.640493, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.946222, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, {'sentence_id': 2, 'text': '🤔', 'tones': []}]","[{'score': 0.630541, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.893364, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]",1.0,1.0,,,,,
Pablobrackins,"scientist, wizard, godkiller, porn bingewatcher",a million miles away,513,228,25023,2010-11-03 14:39:42,2020-06-21 04:09:15,323,if the coronavirus is the chinese virus guess obesity and racism is the american virus,[],[],coronavirus chinese virus guess obesity racism american virus,,"[{'score': 0.501485, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.88939, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]",1.0,1.0,,,,,
