index,username,acctdesc,location,following,followers,totaltweets,usercreatedts,tweetcreatedts,retweetcount,text,hashtags,mentioned_users,cleaned_text,sentences_tone,document_tones,analytical,fear,sadness,anger,confident,tentative,joy
64,manfishers,"i ♥ jesus, my wife & kids. soldier, classic car nut, tech geek, and generally fun guy. christian, but no pushover. sunshine for snowflakes.","mckinney, tx",1033,341,2361,2010-03-11 16:05:10,2020-06-23 01:09:06,0,"@vino_foodie @FOX4 @GregAbbott_TX Yes, of course. The Governor clearly created COVID-19 and has personally spread it to as many individuals as possible. SMDH. Pull your head out.",[],"['@vino_foodie', '@FOX4', '@GregAbbott_TX']",yes course governor clearly create personally spread many individual possible smdh pull head,,[],,,,,,,
65,6669NIKKI,"norm's wife, brutally honest, luv music, i have scleroderma (it sucks) had a stem cell transplant & i'm a survivor..so far! #trumpsucks",chicago,2423,639,2474,2012-07-27 16:46:02,2020-06-22 01:38:52,87,"@parscale @realDonaldTrump Give nothing to go to a rally, get a temperature check.

Give $250,000 to go to a fundraiser, get a coronavirus test.

The Trump campaign only worries about the asymptomatic killing off rich people. 

https://t.co/YFUPdRKxVn",[],"['@parscale', '@realDonaldTrump']","give nothing go rally get temperature check.

give go fundraiser get coronavirus test.

the trump campaign worry asymptomatic kill rich people 

","[{'sentence_id': 0, 'text': 'give nothing go rally get temperature check.', 'tones': [{'score': 0.801827, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 1, 'text': 'give go fundraiser get coronavirus test.', 'tones': []}, {'sentence_id': 2, 'text': 'the trump campaign worry asymptomatic kill rich people', 'tones': [{'score': 0.637501, 'tone_id': 'fear', 'tone_name': 'Fear'}]}]","[{'score': 0.536526, 'tone_id': 'fear', 'tone_name': 'Fear'}, {'score': 0.573521, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",1.0,1.0,,,,,
66,colleen_81south,n.a,n.a,228,25,1729,2012-04-03 15:00:22,2020-06-23 01:08:26,3675,"This is an incredibly misleading headline.

COVID-19 has an incubation period of 2-14 days.

Attributing a spike to Trump’s rally that happened less than 48 hours ago is misleading.

Let’s call this what it is - FAKE NEWS!

https://t.co/SiJGZEYlyU",[],[],"incredibly mislead incubation period days.

attributing spike trump’s rally happen less hour ago misleading.

let’s call fake news!

","[{'sentence_id': 0, 'text': 'incredibly mislead incubation period days.', 'tones': [{'score': 0.539482, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.849827, 'tone_id': 'confident', 'tone_name': 'Confident'}, {'score': 0.882284, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 1, 'text': 'attributing spike trump’s rally happen less hour ago misleading.', 'tones': [{'score': 0.525929, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.8766, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 2, 'text': 'let’s call fake news!', 'tones': [{'score': 0.528732, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}]","[{'score': 0.556616, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.848841, 'tone_id': 'confident', 'tone_name': 'Confident'}, {'score': 0.948839, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",1.0,,1.0,,1.0,,
67,ShenoyVasanth,"bharatvarsh first, always and everytime...             
                      
rt's are not endorsements and views are personal.  jai bharat !!!","jhumri tilaiya, bharat",103,82,7595,2013-08-16 14:28:26,2020-06-22 03:19:39,86,"WH Peter Navarro:

""#China created this virus, they hid the virus &amp; they sent over hundreds of thousands of #Chinese citizens here to spread that around &amp; around the world. 

Whether they did that on purpose -- that's an open question. But that's a fact.""
https://t.co/0qDIa2E1im","['china', 'chinese']",[],"wh peter navarro:

 create virus hid virus amp send hundred thousand citizen spread around amp around world 

whether purpose that's open question that's fact.""
","[{'sentence_id': 0, 'text': 'wh peter navarro:', 'tones': []}, {'sentence_id': 1, 'text': '', 'tones': []}, {'sentence_id': 2, 'text': ' create virus hid virus amp send hundred thousand citizen spread around amp around world ', 'tones': [{'score': 0.91961, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, {'sentence_id': 3, 'text': '', 'tones': []}, {'sentence_id': 4, 'text': 'whether purpose that\'s open question that\'s fact.""', 'tones': [{'score': 0.9948, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.92125, 'tone_id': 'confident', 'tone_name': 'Confident'}]}]","[{'score': 0.530488, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.865388, 'tone_id': 'tentative', 'tone_name': 'Tentative'}, {'score': 0.968052, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",1.0,,,,,1.0,1.0
68,NaattuVarthakal,"നിങ്ങളറിയാൻ ആഗ്രഹിക്കുന്ന വാർത്തകൾ
news news news and trends",കേരളം,4373,2481,151263,2018-01-13 18:33:01,2020-06-22 02:33:48,3,"Covifor: All you need to know about Hetero's COVID-19 treatment drug | via @IndiaTVNews 
#Covifor #coronavirus #covid19 #coronavirusdrug #covid19drug
https://t.co/RElvpOdwau","['covifor', 'coronavirus', 'covid19']",['@IndiaTVNews'],covifor need know hetero's treatment drug via,,"[{'score': 0.801827, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",1.0,,,,,,
69,claster6772,n.a,n.a,14,0,346,2019-08-06 22:32:01,2020-06-21 03:20:05,0,"@209Bannon @kylegriffin1 People arent angry because he is blaming china for the virus, they started it. People are angry because Kung Flu and Chinese Virus blame chinese people for the Coronavirus",[],"['@209Bannon', '@kylegriffin1']",people arent angry blame china virus start people angry kung flu chinese virus blame chinese people coronavirus,,"[{'score': 0.850735, 'tone_id': 'anger', 'tone_name': 'Anger'}]",,,,1.0,,,
70,kyebuula,team leader @milleniumchild4 | alumni @makerereu | human rights activist | digital influencer,"kampala, uganda",1084,2617,42033,2015-06-27 15:15:05,2020-06-23 01:07:36,71,"Greetings @KagutaMuseveni. In these tough Covid-19 times, we find the timing right tk remind you about the $1m promise after Afcon last year. We feel frustrated and unhappy our token of appreciation hangs in balance. please intervene @lindahnabusayi1 @HamsonObua @nyamadon https://t.co/sZeqSMB6W1",[],"['@KagutaMuseveni.', '@lindahnabusayi1', '@HamsonObua', '@nyamadon']",greeting tough time find time right tk remind promise afcon last year feel frustrate unhappy token appreciation hang balance please intervene,,"[{'score': 0.746925, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",1.0,,,,,,
71,macmastermkt,"democracy gone #msm complicit
❤ canada shame its dying #beekeeper
fb by @genflynn & @maximebernier
🚫 #un #eu #libs
nationalist #mnaga #maga #mcga #mukga #wasp","nova scotia, canada",20337,21017,116950,2013-12-02 04:13:01,2020-06-22 03:41:41,4,I’ve got an IPhone...the last update yesterday added the ability to log exposure to Covid-19 or be notified by authorities that I may have been exposed to it.... I did not want this...what else are they forcing upon us under the guise of COVID-19 https://t.co/EJACCDup9q,[],[],i’ve get iphone...the last update yesterday add ability log exposure notify authority may expose want this...what else force upon guise,,"[{'score': 0.541591, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",1.0,,,,,,
72,TexFoodie,#maga2020 american and #alwaystrumper - i support police. stop celebrating mediocrity,texas ,2019,1786,54454,2016-11-10 20:27:10,2020-06-20 01:57:20,428,This damn Corona Virus is just Evil I tell you. 👿 https://t.co/IetDaqQqku,[],[],damn corona virus evil tell,,"[{'score': 0.771243, 'tone_id': 'anger', 'tone_name': 'Anger'}]",,,,1.0,,,
73,cmenace7,n.a,n.a,296,26,1925,2014-04-02 03:09:05,2020-06-21 03:15:03,10361,6 members of Trump's Tulsa advance staff have tested positive for COVID-19. Each may have infected hundreds with the virus already.,[],[],member trump's tulsa advance staff test positive may infect hundred virus already,,[],,,,,,,
74,Anne_Hogan,"digital marketer - sports & entertainment. pom mom. southerner in la. highly caffeinated. i love whales and sequins. i had cancer, now i have cancer jokes.","los angeles, ca",1261,2871,40117,2008-10-24 14:52:56,2020-06-21 03:26:37,54,me on my way to crush racism after trump called corona virus “kung flu” at his rally 🥰 https://t.co/Ptiep4DLwD,[],[],way crush racism trump call corona virus “kung flu” rally,,[],,,,,,,
75,crittaluvva,very concerned aussie  #notrump,"queensland, australia",4966,2036,35745,2009-12-19 00:27:50,2020-06-20 03:13:16,10631,"Here is scamvangelist Kenneth Copeland DESTROYING the virus through what I can only describe as a Christian magic spell.

""In the name of Jesus... I execute judgment on you, COVID-19!... It! Is! Finished! It! Is! Over!"" https://t.co/EyRosWxcHp",[],[],"scamvangelist kenneth copeland destroy virus describe christian magic spell.

""in name jesus execute judgment finish","[{'sentence_id': 0, 'text': 'scamvangelist kenneth copeland destroy virus describe christian magic spell.', 'tones': []}, {'sentence_id': 1, 'text': '""in name jesus execute judgment finish', 'tones': [{'score': 0.890188, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}]","[{'score': 0.802429, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",1.0,,,,,,
76,KingNonie,"in the end we will remember not the words of our enemies, but the silence of our friends ~ mlk #justiceforgeorgefloyd #saytheirnames",disturbia,569,671,22872,2016-05-06 08:49:29,2020-06-22 02:33:11,0,What the is Peter Navarro talking about?! “The Chinese created this virus. The Chinese sent their citizens all over the world to spread this virus therefore creating this pandemic.” Whutt? https://t.co/jPr7qzRRQt,[],[],peter navarro talk “the chinese create virus chinese send citizen world spread virus therefore create pandemic.” whutt,"[{'sentence_id': 0, 'text': 'peter navarro talk “the chinese create virus chinese send citizen world spread virus therefore create pandemic.”', 'tones': [{'score': 0.518879, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.562568, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 1, 'text': 'whutt', 'tones': []}]","[{'score': 0.518879, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.726585, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",1.0,,,,,,1.0
77,Riley36894234,n.a,"edmonton, canada",219,43,1060,2020-02-06 01:47:47,2020-06-22 03:37:49,8,"If you’ve been out drinking/dining at the usual #YEGDT or #YEGwhyte bars over the past two weeks, get tested for COVID-19. Better to be safe than sorry with 8 bars confirming potential exposure - if this spreads and we are back in phase 1, were your patio drinks worth it? #YEG","['yegdt', 'yegwhyte']",[],you’ve drinking/dining usual bar past two week get test well safe sorry bar confirm potential exposure spread back phase patio drink worth,,"[{'score': 0.789807, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",1.0,,,,,,
78,kateKennedy17,n.a,"des moines, iowa",133,465,50812,2012-08-30 19:05:44,2020-06-21 03:13:33,1692,"Why did the Washington Post all of a sudden remove the daily China Virus death tracker from its front page now that COVID deaths are decreasing nationwide?

I guess it just doesn’t fit their narrative anymore.

🤔",[],[],"washington post sudden remove daily china virus death tracker front page covid death decrease nationwide?

i guess doesn’t fit narrative anymore.

🤔","[{'sentence_id': 0, 'text': 'washington post sudden remove daily china virus death tracker front page covid death decrease nationwide?', 'tones': [{'score': 0.511428, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}, {'sentence_id': 1, 'text': 'i guess doesn’t fit narrative anymore.', 'tones': [{'score': 0.640493, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.946222, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, {'sentence_id': 2, 'text': '🤔', 'tones': []}]","[{'score': 0.630541, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.893364, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]",,,1.0,,,1.0,
79,Christy43250353,"i enjoy life to the fullest!⭐⭐⭐
god is my everything and i love to serve him. god bless america 🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸
my family is my life!
maga🇺🇸trump2020🇺🇸","anza, california ",5833,5771,176700,2017-01-22 05:16:34,2020-06-22 01:36:12,42,"NewQ
...HOW IS IT POSSIBLE SELECT [D] GOVERNORS THOUGHT IT WAS 'SAFE' TO PUSH COVID-19 POSITIVE ELDERLY PATIENTS BACK INTO NURSING HOMES [HOT ZONES]?
WHY WOULD THIS BE DIRECTED IF HOSPITALS [+US NAVY MEDICAL SHIPS [NYC-CA] +ERECTED CARE FACILITIES] HAD MORE THAN 70% CAPACITY?
...",[],[],"newq
...how possible select governor think safe push positive elderly patient back nurse home hot zones]?
why would direct hospital navy medical ship nyc-ca erect care facility capacity?
","[{'sentence_id': 0, 'text': 'newq', 'tones': []}, {'sentence_id': 1, 'text': '...how possible select governor think safe push positive elderly patient back nurse home hot zones]?', 'tones': [{'score': 0.802757, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 2, 'text': 'why would direct hospital navy medical ship nyc-ca erect care facility capacity?', 'tones': [{'score': 0.506763, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}]","[{'score': 0.866215, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",1.0,,,,,,
80,MillieA09,n.a,n.a,545,105,22461,2010-01-18 00:58:45,2020-06-23 01:07:34,12546,"Amid surge in Florida COVID-19 cases, Fla. Gov. DeSantis changed guidelines for ICU reporting.  He doesn't want hospitals to report the number of patients in ICU beds.  He only wants hospitals to report number of patients in ICU beds who require an “intensive level of care.”",[],[],amid surge florida case fla gov desantis change guideline icu report want hospital report number patient icu bed want hospital report number patient icu bed require “intensive level care.”,,"[{'score': 0.663532, 'tone_id': 'confident', 'tone_name': 'Confident'}]",,,,,1.0,,
81,elizabeths_sis,"rt & like is not endorsement. champion of reasoned dialogue, caring hearts, and puns. against the oxford comma.","north carolina, usa",809,395,82401,2012-01-29 01:32:53,2020-06-21 02:42:19,499,"“Kellyanne Conway...called reports of a White House official referring to COVID-19 as the ‘kung flu’ virus ‘HIGHLY OFFENSIVE’ ... ‘I'd like to know who they are. But hold on, you can't just say that and not name them. Tell us who it was.’”

March 18, 2020

https://t.co/Zi24Xrqyl1 https://t.co/Dq95baSzT6",[],[],"“kellyanne conway...called report white house official refer ‘kung flu’ virus ‘highly offensive’ ‘i'd like know hold can't say name tell was.’”

march","[{'sentence_id': 0, 'text': ""“kellyanne conway...called report white house official refer ‘kung flu’ virus ‘highly offensive’ ‘i'd like know hold can't say name tell was.’”"", 'tones': [{'score': 0.653099, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 1, 'text': '', 'tones': []}, {'sentence_id': 2, 'text': 'march', 'tones': []}]","[{'score': 0.816179, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",1.0,,,,,,
82,pattyd1001,"retired. fan of all things outlander, poldark and victoria. independent voter. no dm.",n.a,5378,4976,86308,2014-10-26 15:31:03,2020-06-23 01:27:16,350,"I know good news doesn’t sell and will never make the evening news, but good news: coronavirus deaths continue to fall.  

Daily COVID-19 Deaths in the U.S. Have Fallen Dramatically Since April – https://t.co/1OcLJizCrt https://t.co/GTb5a02Feu",[],[],"know good news doesn’t sell never make even news good news coronavirus death continue fall 

daily death u.s fall dramatically since april","[{'sentence_id': 0, 'text': 'know good news doesn’t sell never make even news good news coronavirus death continue fall ', 'tones': [{'score': 0.502784, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.778622, 'tone_id': 'tentative', 'tone_name': 'Tentative'}, {'score': 0.532616, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 1, 'text': '', 'tones': []}, {'sentence_id': 2, 'text': 'daily death u.s fall dramatically since april', 'tones': [{'score': 0.742226, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}]","[{'score': 0.645183, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.926725, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]",,,1.0,,,1.0,
83,optimal_max,"the showstopper, the main event, the icon",central pa,120,129,5696,2015-04-22 13:37:05,2020-06-21 02:18:23,832,"Why did the Washington Post all of a sudden remove the daily China Virus death tracker from its front page now that COVID deaths are decreasing nationwide?

I guess it just doesn’t fit their narrative anymore.

🤔",[],[],"washington post sudden remove daily china virus death tracker front page covid death decrease nationwide?

i guess doesn’t fit narrative anymore.

🤔","[{'sentence_id': 0, 'text': 'washington post sudden remove daily china virus death tracker front page covid death decrease nationwide?', 'tones': [{'score': 0.511428, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}, {'sentence_id': 1, 'text': 'i guess doesn’t fit narrative anymore.', 'tones': [{'score': 0.640493, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.946222, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, {'sentence_id': 2, 'text': '🤔', 'tones': []}]","[{'score': 0.630541, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.893364, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]",,,1.0,,,1.0,
84,steeley8756,"trump republican, christian, veteran, mother, wife,",n.a,69,227,21166,2016-12-02 07:16:14,2020-06-21 02:44:39,0,@The_Don04 Right - Amazing how liberals can be shoulder to shoulder wearing diapers or going in their pants and it is ok. Yet testing around the world of sewage systems can show exactly how long Chinese Corona Virus has actually been around.,[],['@The_Don04'],right amaze liberal shoulder shoulder wear diaper go pant ok yet test around world sewage system show exactly long chinese corona virus actually around,,[],,,,,,,
85,mitdasein,suppressive person. he/him.,black iron prison,8068,7368,241594,2007-04-17 04:58:09,2020-06-22 02:10:51,2,What stage of capitalism is this? https://t.co/GMYi3eQJQE,[],[],stage capitalism,,"[{'score': 0.579367, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",1.0,,,,,,
86,abc13houston,abc13 is houston's news leader. your number one source for breaking news 24 hours a day/7 days a week.,"houston, tx",2584,781479,386405,2008-09-11 20:45:55,2020-06-22 01:20:02,3,Downtown bar closes after reports of COVID-19 at other bars https://t.co/AZPVMZcWah https://t.co/VGJR3JiWbv,[],[],downtown bar close report bar,,"[{'score': 0.849827, 'tone_id': 'confident', 'tone_name': 'Confident'}]",,,,,1.0,,
87,MariRbago,n.a,"querétaro arteaga, méxico",336,115,7573,2011-06-26 22:36:46,2020-06-23 01:26:45,62,Mexico’s coronavirus czar “has been too much of a spokesperson for the president (and) has not spoken truth to power.”  https://t.co/6aPgw88abK,[],[],mexico’s coronavirus czar “has much spokesperson president speak truth power.”,,"[{'score': 0.618451, 'tone_id': 'confident', 'tone_name': 'Confident'}]",,,,,1.0,,
88,PorterWannabe,n.a,n.a,247,42,6272,2020-06-09 21:20:55,2020-06-23 01:28:21,89,"Two members of Trump’s campaign who contracted Covid-19 were at #TrumpsCoronavirusRally in Tulsa, Oklahoma on Saturday after it was previously reported six other staffers working on the event tested positive for the novel virus.

#WhiteHouseOutbreak

https://t.co/Zgkj2SpkXW",['trumpscoronavirusrally'],[],"two member trump’s campaign contract tulsa oklahoma saturday previously report six staffer work event test positive novel virus.



",,"[{'score': 0.80026, 'tone_id': 'confident', 'tone_name': 'Confident'}]",,,,,1.0,,
89,michylunga,n.a,n.a,2,0,9,2015-08-07 23:43:36,2020-06-21 04:11:41,0,"I am agree with Trump denomination of Chinese Coronavirus. It came from China, then it is a Chinese virus. This denomination was racist for the progres communist journalists. But for them is not racist  a flu as the Spaniard Flu, and it was not from Spain.",[],[],agree trump denomination chinese coronavirus come china chinese virus denomination racist progres communist journalist racist flu spaniard flu spain,,[],,,,,,,
90,Ohyeawakeupyeaa,n.a,southern california ,223,255,5471,2012-03-19 07:09:39,2020-06-21 03:22:35,58,"@LesaRobertson20 Yes, There is a virus out there. It killed my friends son. It killed my cousin's husband. It makes me so mad that people even ask this. COVID IS REAL, AND IT DOES KILL!!!!!!!!!",[],['@LesaRobertson20'],yes virus kill friend son kill cousin's husband make mad people even ask covid real kill,,"[{'score': 0.60195, 'tone_id': 'anger', 'tone_name': 'Anger'}]",,,,1.0,,,
91,Peg_C,wwg1wga! 🇺🇸🇺🇸🇺🇸 i see q people #maga,"newburgh, ny  usa",3178,1432,5560,2009-09-20 00:56:38,2020-06-22 01:18:42,93,"@SteveScalise Q sent me. 

How is it possible select [D] governors thought it was 'safe' to push COVID-19 positive elderly patients back into nursing homes [hot zones]? https://t.co/o3JkmQe9BD",[],['@SteveScalise'],"send 

how possible select governor think safe push positive elderly patient back nurse home hot zone","[{'sentence_id': 0, 'text': 'send ', 'tones': []}, {'sentence_id': 1, 'text': '', 'tones': []}, {'sentence_id': 2, 'text': 'how possible select governor think safe push positive elderly patient back nurse home hot zone', 'tones': [{'score': 0.802757, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}]","[{'score': 0.921915, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",1.0,,,,,,
92,Redenlab,us-australian med-tech company using #speech & #language biometrics to enhance decision making in clinical trials & healthcare @speechneuro,united states - australia,158,57,240,2017-03-24 04:26:20,2020-06-22 02:32:16,0,"Clinical trials continue to recruit and test subjects, even during pandemics. Redenlab have worked with expert clinicians, collaborators &amp; customers to provide guidance on safely continuing high quality data collection during COVID-19. https://t.co/q06PF4VkW4 https://t.co/LongbCDFzw",[],[],clinical trial continue recruit test subject even pandemic redenlab work expert clinician collaborator amp customer provide guidance safely continue high quality data collection,,[],,,,,,,
93,ValerieBermude7,n.a,n.a,38,11,44,2017-04-24 14:29:39,2020-06-21 03:58:23,42739,"Trump's rally in Tulsa is indoors, with no social distancing and no mask requirements—all in violation of CDC guidelines. Trump is willing to spread the COVID-19 virus in order to hear some cheers. He is a direct threat to the health of the American people. He must be defeated.",[],[],trump's rally tulsa indoors social distance mask requirements—all violation cdc guideline trump willing spread virus order hear cheer direct threat health american people must defeat,,"[{'score': 0.674728, 'tone_id': 'confident', 'tone_name': 'Confident'}, {'score': 0.642915, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",1.0,,,,1.0,,
94,EricaBrozovsky,sociolinguistics phd candidate @ut_english | i tweet when i'm at conferences and at the airport,"austin, tx ",301,236,7772,2011-05-23 23:56:36,2020-06-21 03:59:09,340,"When the President of the United States uses racist terms like Kung Flu, Chinese Virus, or China Plague, my biggest fear as an Asian American is that it normalizes racism against us and there’s no way for us to fight it. We have very little representation in government and media.",[],[],president united state us racist term like kung flu chinese virus china plague big fear asian american normalizes racism there’s way fight little representation government medium,,"[{'score': 0.552886, 'tone_id': 'fear', 'tone_name': 'Fear'}]",,1.0,,,,,
95,iahkcin,n.a,everywhere i need to be.,813,196,3004,2017-06-18 20:59:41,2020-06-22 03:42:46,169,"As of 7pm the Saharan Dust is only a few hours away the country. Jamaicans should awaken on Monday, June 22, 2020 to dry, warm and hazy conditions. The asthmatic and sinusitis conditions that this may trigger in some people may easily confused for Covid-19 symptoms so stay alert. https://t.co/vgpjGztAi6",[],[],saharan dust hour away country jamaican awaken monday june dry warm hazy condition asthmatic sinusitis condition may trigger people may easily confuse symptom stay alert,,"[{'score': 0.696109, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.939968, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]",,,1.0,,,1.0,
96,themrsgillis,🍎kindergarten teacher.👩🏻‍🏫 🥑keto since july 2019.🥓 🌱gardener.👩🏻‍🌾 🐶mom to kids with paws.🐱 🦈san jose sharks.🖤,madera,119,54,1754,2009-04-17 05:33:43,2020-06-23 01:28:27,45418,The reason why America isn’t recovering from COVID-19 as quickly as other countries is because we are a country that values individualism over collectivism. Nobody here wants to do anything that is a minor inconvenience to them in order to protect their neighbors.,[],[],reason america isn’t recover quickly country country value individualism collectivism nobody want anything minor inconvenience order protect neighbor,,"[{'score': 0.769135, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.5538, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]",1.0,,,,,1.0,
97,calgary_buffalo,"shut in from pandemic so, tv and medical response critic",n.a,1970,1364,14220,2020-04-06 22:02:30,2020-06-22 02:11:11,332,"It’s June 21, and the Trump admin is still sitting on nearly $14 billion we fought to provide for testing &amp; tracing

And now he's admitted he directed officials to slow testing to keep case numbers low when there’s a spike in COVID-19 cases in many states!
https://t.co/OHN2IxZ7Rz",[],[],"it’s june trump admin still sit nearly billion fought provide test amp tracing

and he's admit directed official slow test keep case number low there’s spike case many states!
","[{'sentence_id': 0, 'text': 'it’s june trump admin still sit nearly billion fought provide test amp tracing', 'tones': [{'score': 0.716301, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, {'sentence_id': 1, 'text': '', 'tones': []}, {'sentence_id': 2, 'text': ""and he's admit directed official slow test keep case number low there’s spike case many states!"", 'tones': [{'score': 0.544275, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.592138, 'tone_id': 'confident', 'tone_name': 'Confident'}]}]","[{'score': 0.573203, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]",,,1.0,,,,
98,IvoryCapilitan,"🍂: sometimes, to be alone is the best company. @reallyvy :)",davao city,1062,1100,56472,2016-10-10 15:07:39,2020-06-22 01:39:24,1264,"No COVID-19 surge if only the gov’t prioritized its people, saving lives rather than pursuing their own interests. if only the gov't quickly responded to the our demands &amp; to temporarily ban flights from the very start. Been enduring &amp; suffering for more than 3 months. Año, sagot https://t.co/aaeuzJgyjx",[],[],surge gov’t prioritize people save life rather pursue interest gov't quickly respond demand amp temporarily ban flight start endure amp suffer month año sagot,,"[{'score': 0.679386, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.687768, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",1.0,,1.0,,,,
99,starchild_steve,deplorable and proud of it!!  blocked by cnn’s brian stelter and i wear that as a badge of honor!!,n.a,104,147,16849,2012-02-10 18:11:45,2020-06-21 02:42:33,77,"The @detroitnews has uncovered evidence that just three days after COVID-19 arrived in Michigan, experts warned @GovWhitmer about the risk of exposing seniors in nursing homes to the virus.

She ignored them.

More than 1,900 of our parents and grandparents have been lost. https://t.co/OeYWhq50uy",[],"['@detroitnews', '@GovWhitmer']","uncovered evidence three day arrive michigan expert warn risk expose senior nurse home virus.

she ignore them.

more parent grandparent lose","[{'sentence_id': 0, 'text': 'uncovered evidence three day arrive michigan expert warn risk expose senior nurse home virus.', 'tones': []}, {'sentence_id': 1, 'text': 'she ignore them.', 'tones': [{'score': 0.862998, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.857143, 'tone_id': 'anger', 'tone_name': 'Anger'}]}, {'sentence_id': 2, 'text': 'more parent grandparent lose', 'tones': [{'score': 0.741417, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}]","[{'score': 0.608071, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]",,,1.0,,,,
100,JoccJayB,to know me is to luv me,ix-xxviii-mmx,951,1157,111344,2009-03-28 01:55:16,2020-06-23 01:26:24,2962,niggas talmbout parties n im looking at these new COVID-19 cases like https://t.co/EbkBMoxpZn,[],[],nigga talmbout party im look new case like,,[],,,,,,,
101,damnfineaf,n.a,n.a,525,1423,74705,2016-04-21 00:22:45,2020-06-21 03:28:16,1265,huhuhu I really miss how life was before the corona virus 🥺👉🏼👈🏼,[],[],huhuhu really miss life corona virus,,"[{'score': 0.88846, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.842108, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",1.0,,1.0,,,,
