level_0,index,username,acctdesc,location,following,followers,totaltweets,usercreatedts,tweetcreatedts,retweetcount,text,hashtags,mentioned_users,cleaned_text,document_tone,sentences_tone
243,1244,ojedabecks,21☀️ // lacc,n.a,119,115,739,2017-12-03 04:54:07,2020-06-22 01:19:38,531,"OLIVE GARDEN PASADENA HAD MEMBERS TEST POSITIVE FOR COVID-19 &amp; THEY NOT TELLING ANYBODY.
My manager was sweating me to come back in and work and i’m really glad i didn’t.",[],[],"olive garden pasadena member test positive amp tell anybody.
my manager sweat come back work i’m really glad didn’t","{'tones': [{'score': 0.71103, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.680948, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}","[{'sentence_id': 0, 'text': 'olive garden pasadena member test positive amp tell anybody.', 'tones': [{'score': 0.74885, 'tone_id': 'joy', 'tone_name': 'Joy'}]}, {'sentence_id': 1, 'text': 'my manager sweat come back work i’m really glad didn’t', 'tones': [{'score': 0.687768, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}]"
244,1245,RoustavMahanta,student@icsi.  trader (equities). srk fan. marvel follower. food makes me happy. ! don't follow the way every1 walks through. create your own !.,"guwahati, assam, india.",655,54,672,2014-06-25 05:09:24,2020-06-22 02:09:50,7,"Bofa On Glenmark

- 1st approval to launch favipiravir, COVID-19 drug, in India
- Launch is immediate 
- Priced at `103 per tablet
- Raise price target to `456 from `373
- Risk is competition in India from other cos - Hikal, Strides, SMS Pharma have API as well",[],[],"bofa glenmark

 approval launch favipiravir drug india
 launch immediate price per tablet
 raise price target risk competition india co hikal stride sms pharma api well","{'tones': [{'score': 0.788671, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}","[{'sentence_id': 0, 'text': 'bofa glenmark', 'tones': []}, {'sentence_id': 1, 'text': '', 'tones': []}, {'sentence_id': 2, 'text': ' approval launch favipiravir drug india', 'tones': [{'score': 0.525851, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.882284, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 3, 'text': ' launch immediate price per tablet', 'tones': [{'score': 0.882284, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 4, 'text': ' raise price target risk competition india co hikal stride sms pharma api well', 'tones': []}]"
245,1246,Pelicans2016,#president45 #maga #nra,new orleans ,0,135,12171,2015-07-02 05:08:42,2020-06-20 03:15:08,0,@realDonaldTrump will get his wish on 6-20-2020 All the Fake News will turn the camera’s around &amp; show the real crowds at a TRUMP rally... They will use it as a reckless Corona Virus etc. Sad https://t.co/ewOFVkxHJY,[],['@realDonaldTrump'],get wish fake news turn camera’s around amp show real crowds trump rally use reckless corona virus etc sad,"{'tones': [{'score': 0.700112, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}",
246,1247,DrnkJarrad,music marketing / journalist,"houston, tx",49,109,17556,2018-12-13 20:07:07,2020-06-23 01:09:45,21,y’all not having enough fun to risk COVID-19 for me. https://t.co/uf0M5sRXuN,[],[],y’all enough fun risk,"{'tones': [{'score': 0.81155, 'tone_id': 'joy', 'tone_name': 'Joy'}]}",
247,1248,tyrazafar,"canadian 🇨🇦 | hr professional | animal lover | raptors 🏀, blue jays ⚾️, tfc ⚽️ | #knowyourtrueworth ✨✨✨",toronto ,3525,3981,101956,2012-11-18 00:16:53,2020-06-21 04:08:05,10703,6 members of Trump's Tulsa advance staff have tested positive for COVID-19. Each may have infected hundreds with the virus already.,[],[],member trump's tulsa advance staff test positive may infect hundred virus already,{'tones': []},
248,1249,MelissaFiorini,n.a,my universe,425,162,19618,2013-06-21 03:14:45,2020-06-20 03:01:28,25252,"Trump's rally in Tulsa is indoors, with no social distancing and no mask requirements—all in violation of CDC guidelines. Trump is willing to spread the COVID-19 virus in order to hear some cheers. He is a direct threat to the health of the American people. He must be defeated.",[],[],trump's rally tulsa indoors social distance mask requirements—all violation cdc guideline trump willing spread virus order hear cheer direct threat health american people must defeat,"{'tones': [{'score': 0.674728, 'tone_id': 'confident', 'tone_name': 'Confident'}, {'score': 0.642915, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}",
249,1250,kr156,"ophthalmologist. associate prof at dean mcgee eye institute. student at @darulqasim. father, husband & a flawed man of our flawed times.  rt/follow ≠ endorse","chicago, il",156,3517,10449,2010-07-20 12:58:23,2020-06-21 02:40:21,487,"Breaking News: Covid Virus extremely confused at #TrumpRallyFail. ""I'm really disappointed,"" said virus, ""we were going to spread it like warm butter tonight."" Virus adds, ""We'll work with what we got.""",['trumprallyfail'],[],break news covid virus extremely confused i'm really disappoint say virus go spread like warm butter tonight virus add we'll work get,"{'tones': [{'score': 0.654326, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}",
250,1251,Alex_2020X,m,n.a,22,18,1510,2020-06-03 05:53:03,2020-06-21 02:37:57,151,"When the President of the United States uses racist terms like Kung Flu, Chinese Virus, or China Plague, my biggest fear as an Asian American is that it normalizes racism against us and there’s no way for us to fight it. We have very little representation in government and media.",[],[],president united state us racist term like kung flu chinese virus china plague big fear asian american normalizes racism there’s way fight little representation government medium,"{'tones': [{'score': 0.552886, 'tone_id': 'fear', 'tone_name': 'Fear'}]}",
251,1252,sumitgurjarP,"राष्ट्रीय युवा महासचिव-अखिल भारतीय गुर्जर देवसेना 
@bjp4india|ex-@abvpvoice
@rssorg बाल्यकाल स्वयंसेवक🚩
@followme @sumitabvp
https://t.co/yzcymje49m👍🔔","new delhi, india",164,1440,30124,2012-07-10 15:35:50,2020-06-22 03:21:07,5,"Localism in Covid times?

Given the nature of the virus, containment is the only strategy that is available, not only to nations, but to states, cities, neighbourhoods and apartment blocks. 

Read today's op-ed bySantosh Desai 👇
https://t.co/rlUF3gOJAY https://t.co/1JTDlAoIJM",[],[],"localism covid times?

given nature virus containment strategy available nation state city neighbourhoods apartment block 

read today's op-ed bysantosh desai","{'tones': [{'score': 0.799093, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}","[{'sentence_id': 0, 'text': 'localism covid times?', 'tones': []}, {'sentence_id': 1, 'text': 'given nature virus containment strategy available nation state city neighbourhoods apartment block ', 'tones': [{'score': 0.790954, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 2, 'text': '', 'tones': []}, {'sentence_id': 3, 'text': ""read today's op-ed bysantosh desai"", 'tones': []}]"
252,1253,Drobinson120,business owner 📈 | former ncaa athlete🏈 | pre-law student⚖️,"tampa, fl",325,652,1214,2011-10-23 06:17:20,2020-06-21 03:38:17,0,"More people have died over the age of 85 than under the age of 65 from COVID. Less than 10,000 people under 55 have died from the virus. https://t.co/VKEXpYnLeY",[],[],people die age age covid less people die virus,"{'tones': [{'score': 0.774003, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}",
253,1254,KaylaMStyles_23,on sunday 7/28/2013 me and @annuh_hicks went to @onedirection concert at the keyarena #tmh tour and it was the best day of my life so far! harry girl,washington,742,144,8065,2009-05-23 19:16:15,2020-06-22 02:11:51,1310,"In less than a year he had a triple heart by pass, a replaced hip and beat Covid-19. 
Brock Lesner is next 🤪#happyfathersday https://t.co/t73lXT9iiZ",['happyfathersday'],[],"less year triple heart pas replace hip beat 
brock lesner next",{'tones': []},"[{'sentence_id': 0, 'text': 'less year triple heart pas replace hip beat ', 'tones': [{'score': 0.550296, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}, {'sentence_id': 1, 'text': 'brock lesner next', 'tones': []}]"
254,1255,mattfharris,"radio host and producer, cfra.","ottawa, on",4195,7412,37154,2010-03-22 18:04:24,2020-06-22 01:39:05,0,"Report: MLB had 40 players, staff members test positive for COVID-19 in last week https://t.co/EJRHX2Vu4G",[],[],report mlb player staff member test positive last week,"{'tones': [{'score': 0.942582, 'tone_id': 'confident', 'tone_name': 'Confident'}]}",
255,1256,DGutierrrezz,"godspeed | gaels rugby 🏉| dk;)
 🇲🇽",n.a,81,114,4716,2016-01-20 06:41:37,2020-06-22 01:40:49,6721,"There were so many directions he could have gone- Covid-19, unemployment, the murder of George Floyd, systemic racism, global warming, etc. Instead he chose the ‘whiny victim’ route. THIS is our president????? We deserve better. Register to vote. https://t.co/zMdYhSBOMh",[],[],many direction could go unemployment murder george floyd systemic racism global warm etc instead chose ‘whiny victim’ route president deserve good register vote,{'tones': []},
256,1257,AQakley,suspended. starting over. maga. q. ret nypd.,n.a,3580,2146,18604,2020-05-12 01:38:46,2020-06-22 03:21:42,11,"@LionelMedia What can we do now. These political haks (DeBlasio's wife) in NYC government  answer to no one. She was placed in charge of the homeless she  lost 850 million of our tax $ and no investigation, then she becomes head of covid 19 effects on minorities &amp; now this. Unbelievable!",[],['@LionelMedia'],political haks deblasio's wife nyc government answer one place charge homeless lose million tax investigation become head covid effect minority amp unbelievable,"{'tones': [{'score': 0.631234, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.875259, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}",
257,1258,Hillary82663792,n.a,n.a,29,4,2015,2019-04-29 00:30:40,2020-06-21 02:38:27,1252,"Why did the Washington Post all of a sudden remove the daily China Virus death tracker from its front page now that COVID deaths are decreasing nationwide?

I guess it just doesn’t fit their narrative anymore.

🤔",[],[],"washington post sudden remove daily china virus death tracker front page covid death decrease nationwide?

i guess doesn’t fit narrative anymore.

🤔","{'tones': [{'score': 0.630541, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.893364, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}","[{'sentence_id': 0, 'text': 'washington post sudden remove daily china virus death tracker front page covid death decrease nationwide?', 'tones': [{'score': 0.511428, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}, {'sentence_id': 1, 'text': 'i guess doesn’t fit narrative anymore.', 'tones': [{'score': 0.640493, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.946222, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, {'sentence_id': 2, 'text': '🤔', 'tones': []}]"
258,1259,Buildlancer,i make amv's and play games,n.a,352,53,10190,2014-05-08 22:29:04,2020-06-20 03:09:37,368,"Thanks a lot jackasses, due to the spike in Corona Virus cases in the state, visitation at the hospital has been cut off completely. Hope brunch at that bar and grill was worth it, you selfish fucks. Eat a bag of dicks.",[],[],thanks lot jackass due spike corona virus case state visitation hospital cut completely hope brunch bar grill worth selfish fuck eat bag dick,"{'tones': [{'score': 0.597553, 'tone_id': 'anger', 'tone_name': 'Anger'}]}",
259,1260,Josephc28B,"artist, student, music and film lover, photography, politics, and sports.",nashville tn,3209,411,7719,2014-05-18 06:37:00,2020-06-22 01:19:01,0,12 states have set record highs in new COVID-19 cases since Friday https://t.co/6GfFql0HxW,[],[],state set record highs new case since friday,"{'tones': [{'score': 0.569697, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.825947, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}",
260,1261,Atlantakid20,n.a,n.a,1485,530,16412,2014-06-23 01:11:56,2020-06-21 03:33:07,288,"When the President of the United States uses racist terms like Kung Flu, Chinese Virus, or China Plague, my biggest fear as an Asian American is that it normalizes racism against us and there’s no way for us to fight it. We have very little representation in government and media.",[],[],president united state us racist term like kung flu chinese virus china plague big fear asian american normalizes racism there’s way fight little representation government medium,"{'tones': [{'score': 0.552886, 'tone_id': 'fear', 'tone_name': 'Fear'}]}",
261,1262,eheike,dallasite | #mffl | go blue〽️| uark grad🐗 | instagram: @not_eric_heike | snapchat: @eheike | my real account is my burner🌹,"dallas, tx",370,149,12409,2011-05-24 02:24:21,2020-06-21 03:41:19,20,"120,000 Americans have died from COVID-19 

At least 84,000 of these deaths could have been prevented if we had acted as quickly as Germany, Australia, South Korea and Singapore to prevent the spread of this deadly virus 

This is the mind of a criminal  

https://t.co/KNQEDt5tgf https://t.co/Nu0ah86zh5",[],[],"american die 

at least death could prevent acted quickly germany australia south korea singapore prevent spread deadly virus 

this mind criminal 

","{'tones': [{'score': 0.676497, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.893364, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}","[{'sentence_id': 0, 'text': 'american die ', 'tones': [{'score': 0.818175, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}, {'sentence_id': 1, 'text': '', 'tones': []}, {'sentence_id': 2, 'text': 'at least death could prevent acted quickly germany australia south korea singapore prevent spread deadly virus ', 'tones': [{'score': 0.507532, 'tone_id': 'fear', 'tone_name': 'Fear'}, {'score': 0.565966, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.615352, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, {'sentence_id': 3, 'text': '', 'tones': []}, {'sentence_id': 4, 'text': 'this mind criminal', 'tones': []}]"
262,1263,Kruse_Missile,"love playing my drums, my two fabulous kids josh & britt, st. louis cardinals, 2014 dvc member (blt & akv) & driving my raptor ('10 & soon '17)...",n.a,162,19,16222,2011-08-03 01:36:06,2020-06-22 02:09:46,0,"#OperationGoofy                                            
                                                               
Today would have been our last day of #OperationFozzieBear if COVID-19 pandemic had not… https://t.co/KRxaClashL","['operationgoofy', 'operationfozziebear']",[],"
today would last day pandemic not…","{'tones': [{'score': 0.739276, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}",
263,1264,rickavilla,comic book creator & day dreaming legend,texas,432,108,3634,2012-03-21 20:26:20,2020-06-22 03:20:40,94,.@GregAbbott_TX has been opening up the state despite rising COVID-19 cases — yet he refuses to be in a room with reporters from the state’s largest newspapers who want to ask him questions. https://t.co/h2F2Il5GE5,[],['@GregAbbott_TX'],open state despite rise case yet refuse room reporter state’s large newspaper want ask question,"{'tones': [{'score': 0.525821, 'tone_id': 'anger', 'tone_name': 'Anger'}, {'score': 0.944551, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}",
264,1265,GoodwillObakeng,n.a,n.a,677,22,4,2020-04-22 05:49:47,2020-06-22 03:39:27,23,"You've got an uncle in the Radio Business! Since I'm finally back on radio I wanna start off by blessing someone that's going through a rough time right now. We have all been hit hard financially during Covid-19, reply to this tweet and tell me how I can help you out? #YMornings",[],[],get uncle radio business since i'm finally back radio wanna start bless someone that's go rough time right hit hard financially reply tweet tell help,"{'tones': [{'score': 0.513843, 'tone_id': 'joy', 'tone_name': 'Joy'}]}",
265,1266,hugofaughnan,n.a,n.a,1116,146,245,2009-06-30 21:37:46,2020-06-22 02:13:05,39,"After hearing the news about McKenna testing positive with Covid-19 after 1 week of the AFL resuming in a country that has had very few cases, how long does it take before someone tests positive in NY at the US open? @johnhmillman @NickKyrgios @JamesDuck21",[],"['@johnhmillman', '@NickKyrgios', '@JamesDuck21']",hear news mckenna test positive week afl resume country case long take someone test positive ny open,"{'tones': [{'score': 0.725197, 'tone_id': 'confident', 'tone_name': 'Confident'}]}",
266,1267,PatriotsforTru1,"married, father of 5. 100% trump supporter.#obamagate #2ndamendmentrights,#kag #buildthewall #draintheswamp , @realdonaldtrump #maga2020",n.a,29013,26376,124469,2017-06-08 15:55:48,2020-06-20 02:49:50,5,"OK BLM: More than 10,000 people were expected to attend the event prior to surge in virus cases https://t.co/JxOTyFwIX2",[],[],ok blm people expect attend event prior surge virus case,"{'tones': [{'score': 0.8152, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}",
267,1268,OneTrueAggie,"once a true aggie, always a true aggie! opinions are my own . . . i think.","ogden, utah",165,777,65785,2012-10-24 23:39:34,2020-06-21 03:19:33,176,"As we see COVID-19 cases spike, I urge all Utahns to use face coverings. I wear face masks every day. I know it can look and feel a little different. But data shows it slows the spread of this pernicious virus. #StayStrong Utah.

https://t.co/snc1Ux5xYA",[],[],"see case spike urge utahns use face covering wear face mask every day know look feel little different data show slow spread pernicious virus utah.

","{'tones': [{'score': 0.576771, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.6731, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}",
268,1269,alessan44034690,n.a,n.a,292,62,1230,2013-08-01 22:11:48,2020-06-21 02:38:33,0,@ChrisEvans The virus is Chinese yes. China should be wiped off the map.,[],['@ChrisEvans'],virus chinese yes china wipe map,{'tones': []},
269,1270,RAJUSTAR,🕉️ मैं रहूँ या ना रहूँ भारत ये रहना चाहिए 🇮🇳 🙏,india,315,116,9258,2010-11-14 14:39:34,2020-06-22 02:10:57,1,"The drug for the treatment of COVID-19 has been approved!
The name is FABI-FLU, also know as FAVIPIRAVIR.
One tablet will cost Rs. 103.
It has been developed by Glenmark, an Indian pharmaceutical company. However, this drug is effective only for treating mild to moderate cases.",[],[],"drug treatment approved!
the name fabi-flu also know favipiravir.
one tablet cost develop glenmark indian pharmaceutical company however drug effective treating mild moderate case","{'tones': [{'score': 0.969822, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}","[{'sentence_id': 0, 'text': 'drug treatment approved!', 'tones': []}, {'sentence_id': 1, 'text': 'the name fabi-flu also know favipiravir.', 'tones': [{'score': 0.842108, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 2, 'text': 'one tablet cost develop glenmark indian pharmaceutical company however drug effective treating mild moderate case', 'tones': [{'score': 0.920855, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}]"
270,1271,miketheidealist,genocide & mass atrocities prevention advocate. into peacebuilding & human rights. practical idealist. purveyor of logic and rational thought. #genprev,"washington, dc",2137,2616,39366,2010-07-16 19:05:54,2020-06-21 03:15:38,1,#Trump serving up racist red meat to his base returns to calling #coronavirus the Chinese virus. #TrumpRally https://t.co/LfhICVFYqR,"['trump', 'coronavirus', 'trumprally']",[],serve racist red meat base return call chinese virus,"{'tones': [{'score': 0.564476, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}",
271,1272,Feilercarol,"strong supporter of trump  , god bless america and our military that keeps us free twitter is not a spelling bee so don't correct me .married 35 years ❤️","florida, usa",258,390,21198,2011-07-01 01:04:07,2020-06-20 03:05:44,0,I’ll bet you’re right after the election the COVID-19 virus just magically disappears right of the Democrats lose and know that they can’t lose and can’t do anything about it,[],[],i’ll bet you’re right election virus magically disappear right democrat lose know can’t lose can’t anything,"{'tones': [{'score': 0.611286, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.88939, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}",
272,1273,yayshayay,they/them 18, i like women,186,85,3478,2019-10-17 07:54:25,2020-06-20 03:11:54,25992,"Trump's rally in Tulsa is indoors, with no social distancing and no mask requirements—all in violation of CDC guidelines. Trump is willing to spread the COVID-19 virus in order to hear some cheers. He is a direct threat to the health of the American people. He must be defeated.",[],[],trump's rally tulsa indoors social distance mask requirements—all violation cdc guideline trump willing spread virus order hear cheer direct threat health american people must defeat,"{'tones': [{'score': 0.674728, 'tone_id': 'confident', 'tone_name': 'Confident'}, {'score': 0.642915, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}",
273,1274,BevVincent,"author of the dark tower companion, the stephen king illustrated companion, the road to the dark tower, and over eighty short stories.","houston, tx",314,7168,245543,2009-10-14 14:16:41,2020-06-23 01:07:35,9,"Houston alone reported 1,789 new COVID cases today.

Last week the graph that scared me -- the projection from Children's Hospital of Philadelphia -- predicted 481 cases for all Harris County.

We're already in the steep part of the graph.

https://t.co/tnyxgUe8RL https://t.co/bye4aTNKzQ",[],[],"houston alone report new covid case today.

last week graph scar projection children's hospital philadelphia predict case harris county.

we're already steep part graph.

","{'tones': [{'score': 0.545377, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.869578, 'tone_id': 'confident', 'tone_name': 'Confident'}]}","[{'sentence_id': 0, 'text': 'houston alone report new covid case today.', 'tones': [{'score': 0.636317, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.560098, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.820071, 'tone_id': 'confident', 'tone_name': 'Confident'}]}, {'sentence_id': 1, 'text': ""last week graph scar projection children's hospital philadelphia predict case harris county."", 'tones': [{'score': 0.592566, 'tone_id': 'fear', 'tone_name': 'Fear'}, {'score': 0.620279, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 2, 'text': ""we're already steep part graph."", 'tones': []}]"
274,1275,Michael58021312,retired paint contractor,n.a,123,7,611,2020-06-07 23:32:55,2020-06-21 03:49:30,107,"In his speech in #Tulsa @POTUS #Trump called #COVID19 ""the Chinese virus"" -- 

and he called the #BLM crowd outside ""thugs"" and ""bad people"".

LIVE now","['tulsa', 'trump', 'covid19', 'blm']",['@POTUS'],"speech call chinese virus 

and call crowd outside thug bad people"".

live",{'tones': []},"[{'sentence_id': 0, 'text': 'speech call chinese virus ', 'tones': []}, {'sentence_id': 1, 'text': '', 'tones': []}, {'sentence_id': 2, 'text': 'and call crowd outside thug bad people"".', 'tones': []}, {'sentence_id': 3, 'text': 'live', 'tones': []}]"
275,1276,ruthumstweets,right matters! proud never-drumpfer and patriot. #blue2020 #iresist #pru infp )o( no alternative facts! 😉,united states,14330,13233,84120,2017-01-25 11:06:11,2020-06-22 01:40:38,23,"Join me for a special Father's Day episode of #TheNewNormal with my 2 dear friends writer/producer/director (of @SHO_Billions, Oceans 11, more) @BrianKoppelman + comedian/actor/writer Mike Birbiglia (@birbigs) as we discuss fatherhood, humanity &amp; COVID-19. https://t.co/HFzCzFjV5C",['thenewnormal'],"['@SHO_Billions,', '@BrianKoppelman', '@birbigs)']",join special father's day episode dear friend writer/producer/director ocean comedian/actor/writer mike birbiglia discuss fatherhood humanity amp,"{'tones': [{'score': 0.628778, 'tone_id': 'joy', 'tone_name': 'Joy'}]}",
276,1277,nlives1,n.a,n.a,147,9,2,2011-10-29 19:49:47,2020-06-21 02:26:37,60,"It really blows my mind how the media is going crazy right now talking about Covid being spread at the #TulsaTrumpRally but I didn’t see them being this enthusiastic about corona virus while thousands were getting together to riot, loot and burn their cities to the ground.",['tulsatrumprally'],[],really blow mind medium go crazy right talk covid spread didn’t see enthusiastic corona virus thousand get together riot loot burn city ground,{'tones': []},
277,1278,LoriABaker,n.a,n.a,320,59,33116,2008-12-25 07:47:34,2020-06-22 02:10:59,334,"It’s June 21, and the Trump admin is still sitting on nearly $14 billion we fought to provide for testing &amp; tracing

And now he's admitted he directed officials to slow testing to keep case numbers low when there’s a spike in COVID-19 cases in many states!
https://t.co/OHN2IxZ7Rz",[],[],"it’s june trump admin still sit nearly billion fought provide test amp tracing

and he's admit directed official slow test keep case number low there’s spike case many states!
","{'tones': [{'score': 0.573203, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}","[{'sentence_id': 0, 'text': 'it’s june trump admin still sit nearly billion fought provide test amp tracing', 'tones': [{'score': 0.716301, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, {'sentence_id': 1, 'text': '', 'tones': []}, {'sentence_id': 2, 'text': ""and he's admit directed official slow test keep case number low there’s spike case many states!"", 'tones': [{'score': 0.544275, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.592138, 'tone_id': 'confident', 'tone_name': 'Confident'}]}]"
278,1279,owusulovesyou,instagram:@doraowusu| care free black girl✊🇬🇭|,"los angeles, ca",450,4511,24441,2009-11-15 06:50:36,2020-06-22 01:37:26,210895,"COVID 19 is the worst disease process I’ve ever worked with in my 8 years as an ICU nurse. 

When they say “recovered” they don’t tell you that that means you may need a lung transplant. Or that you may come back after d/c with a massive heart attack or stroke bc COVID makes",[],[],"covid bad disease process i’ve ever work year icu nurse 

when say “recovered” don’t tell mean may need lung transplant may come back d/c massive heart attack stroke bc covid make","{'tones': [{'score': 0.600332, 'tone_id': 'fear', 'tone_name': 'Fear'}, {'score': 0.890302, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}","[{'sentence_id': 0, 'text': 'covid bad disease process i’ve ever work year icu nurse ', 'tones': [{'score': 0.692175, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.618451, 'tone_id': 'confident', 'tone_name': 'Confident'}]}, {'sentence_id': 1, 'text': '', 'tones': []}, {'sentence_id': 2, 'text': 'when say “recovered” don’t tell mean may need lung transplant may come back d/c massive heart attack stroke bc covid make', 'tones': [{'score': 0.682672, 'tone_id': 'fear', 'tone_name': 'Fear'}, {'score': 0.786991, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}]"
279,1280,aspenideas,the aspen ideas festival is a conversation-packed exploration of some of the most important ideas and pressing issues we face. #aspenideas #aspenideashealth,"aspen, co",1938,37102,9945,2010-02-22 20:01:15,2020-06-22 01:38:12,0,"With coronavirus cases on the rise in AZ, how is Gov @DougDucey handling the pandemic? He spoke w/ @SuzanneMalveaux about leading through crisis, addressing the alarming rates of COVID-19 in the Navajo Nation, &amp; his support of peaceful protests: https://t.co/pWs4eeN7p5",[],"['@DougDucey', '@SuzanneMalveaux']",coronavirus case rise az gov handle pandemic spoke lead crisis address alarm rate navajo nation amp support peaceful protest,"{'tones': [{'score': 0.635961, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}",
280,1281,JillybeanRRTX,"equal rights for others does not mean less rights for you. it's not pie.
bean counter. mother. grandmother. happily married 💙resister💙pru🌊bluewave🌊no dms","round rock, tx",12890,12693,6111,2016-12-19 02:21:26,2020-06-23 01:28:00,0,"@Bill_Maxwell_ Absolutely. 
Sadly, I am pretty sure COVID-19 has demonstrated that as an older person, I may have to consider some of the adjustments as permanent.",[],['@Bill_Maxwell_'],"absolutely 
sadly pretty sure demonstrate old person may consider adjustment permanent","{'tones': [{'score': 0.626808, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.922197, 'tone_id': 'confident', 'tone_name': 'Confident'}, {'score': 0.992704, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}","[{'sentence_id': 0, 'text': 'absolutely ', 'tones': [{'score': 0.999953, 'tone_id': 'confident', 'tone_name': 'Confident'}, {'score': 0.982476, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 1, 'text': 'sadly pretty sure demonstrate old person may consider adjustment permanent', 'tones': [{'score': 0.649912, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.944551, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.822231, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}]"
281,1282,GanstaGastino,#blacklivesmatter #phantomtroupe,n.a,516,544,8272,2018-04-26 07:27:28,2020-06-21 02:45:13,171,“thugs” “kung flu” “chinese virus” “shithole countries” yes the trump family has such a way with words https://t.co/1nxatZ68bo,[],[],“thugs” “kung flu” “chinese virus” “shithole countries” yes trump family way word,{'tones': []},
282,1283,4PawShop,"our 4pawshop isn’t just a pet store. we are pet people, pet lovers and pet parents. we are just like you.🐕",canada,3274,5260,881392,2011-01-21 13:52:36,2020-06-22 03:40:03,0,U.K. Fund Beating 99% of Peers Bets on Post-Covid-19 Disruptors https://t.co/gRg93SBr5T https://t.co/GA5oXyiqcm,[],[],u.k fund beating peer bet disruptors,"{'tones': [{'score': 0.91961, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}",
