index,username,acctdesc,location,following,followers,totaltweets,usercreatedts,tweetcreatedts,retweetcount,text,hashtags,mentioned_users,cleaned_text,sentences_tone,document_tones,sadness,joy,tentative,confident,analytical,fear,anger
5240,todayiworkfrom,travel ninja | content jedi | executive editor at https://t.co/xkwkqsboqj.,national capital region,146,919,26201,2009-10-28 23:17:18,2020-06-23 01:09:57,1,"How do big boys say #iloveyou without actually saying it?

https://t.co/JRJZR1bBIP",['iloveyou'],[],"big boy say without actually say it?

",,"[{'score': 0.806517, 'tone_id': 'tentative', 'tone_name': 'Tentative'}, {'score': 0.560098, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",,,1.0,,1.0,,
5241,Karoridouglas,christian,n.a,744,274,2242,2020-04-08 16:53:11,2020-06-22 03:41:35,4,"#Magazetini
Kenya Covid-19 cases rise to 4,738 after 260 more test positive yesterday.
#zinga @dailynation @KbcRadioTaifa","['magazetini', 'zinga']","['@dailynation', '@KbcRadioTaifa']","
kenya case rise test positive yesterday.
",,"[{'score': 0.691663, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.955584, 'tone_id': 'confident', 'tone_name': 'Confident'}, {'score': 0.620279, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",,1.0,,1.0,1.0,,
5242,NKPareek1115,n.a,n.a,16,1,7,2020-04-04 06:15:22,2020-06-22 02:12:24,4,"Download Your Own Bodyguard 🙏😊
#Ajaydevgun #AarogyaSetu #StayHome #StayHomeStaySafe #TikTok #Twitter #government #LikeForLikes #viralvideo #indian #love #Tweet #retweet #Instagram #SundayFeels #SoundCloud #QurantineLife #COVID__19 #COVID19 https://t.co/UfvTabR3IN","['ajaydevgun', 'aarogyasetu', 'stayhome', 'stayhomestaysafe', 'tiktok', 'twitter', 'government']",[],download bodyguard,,[],,,,,,,
5243,horaciolopez565,"números, puros números","nextengo, azcapotzalco",458,62,2477,2014-07-01 01:11:39,2020-06-22 01:40:19,161,"Aquí un verdadero experto sobre la situación de la pandemia en nuestro país. ⬇️⬇️⬇️

Thank you so much @DrEricDing for looking our way, we need all the help we can get. As you can see, our COVID-19 situation is in dire straits &amp; nothing being done about it by our authorities. https://t.co/kF7E6ZWZPm",[],['@DrEricDing'],"aquí un verdadero experto sobre la situación de la pandemia en nuestro país 

thank much look way need help get see situation dire strait amp nothing do authority","[{'sentence_id': 0, 'text': 'aquí un verdadero experto sobre la situación de la pandemia en nuestro país ', 'tones': []}, {'sentence_id': 1, 'text': '', 'tones': []}, {'sentence_id': 2, 'text': 'thank much look way need help get see situation dire strait amp nothing do authority', 'tones': [{'score': 0.710929, 'tone_id': 'joy', 'tone_name': 'Joy'}]}]",[],,,,,,,
5244,gescheidle,mostly-left highland park girl following the twists & turns on the road of life. work for fifth third securities. tweets are my own.,"highland park, il",2189,1104,26518,2011-09-21 03:37:17,2020-06-21 03:34:11,10497,6 members of Trump's Tulsa advance staff have tested positive for COVID-19. Each may have infected hundreds with the virus already.,[],[],member trump's tulsa advance staff test positive may infect hundred virus already,,[],,,,,,,
5245,cgracer,n.a,"cedar park, texas!",587,198,2438,2009-03-10 20:09:47,2020-06-21 02:21:28,806,"Why did the Washington Post all of a sudden remove the daily China Virus death tracker from its front page now that COVID deaths are decreasing nationwide?

I guess it just doesn’t fit their narrative anymore.

🤔",[],[],"washington post sudden remove daily china virus death tracker front page covid death decrease nationwide?

i guess doesn’t fit narrative anymore.

🤔","[{'sentence_id': 0, 'text': 'washington post sudden remove daily china virus death tracker front page covid death decrease nationwide?', 'tones': [{'score': 0.511428, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}, {'sentence_id': 1, 'text': 'i guess doesn’t fit narrative anymore.', 'tones': [{'score': 0.640493, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.946222, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, {'sentence_id': 2, 'text': '🤔', 'tones': []}]","[{'score': 0.630541, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.893364, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]",1.0,,1.0,,,,
5246,Niyah_lovess,sc: niyxh,"dallas, tx",319,627,4641,2013-07-22 05:05:47,2020-06-20 02:52:35,25312,"Trump's rally in Tulsa is indoors, with no social distancing and no mask requirements—all in violation of CDC guidelines. Trump is willing to spread the COVID-19 virus in order to hear some cheers. He is a direct threat to the health of the American people. He must be defeated.",[],[],trump's rally tulsa indoors social distance mask requirements—all violation cdc guideline trump willing spread virus order hear cheer direct threat health american people must defeat,,"[{'score': 0.642915, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.674728, 'tone_id': 'confident', 'tone_name': 'Confident'}]",,,,1.0,1.0,,
5247,BilllyBlues,$7mack10,n.a,526,161,35135,2018-08-31 16:22:50,2020-06-22 02:13:33,39710,"Trump had a bad night in Tulsa. Very low turnout. Even his supporters know that COVID-19 is real and dangerous, and should not be spread at an indoor rally. More importantly, maybe people are catching on that he is a pathological liar and a fraud. Let's keep fighting.",[],[],trump bad night tulsa low turnout even supporter know real dangerous spread indoor rally importantly maybe people catch pathological liar fraud let's keep fighting,,"[{'score': 0.615352, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]",,,1.0,,,,
5248,mawuli____,n.a,n.a,195,107,27687,2019-11-20 15:54:06,2020-06-22 01:22:23,22,Beijing reports nine new COVID-19 cases for June 21 vs 22 day earlier https://t.co/TOVIDff49n https://t.co/EGmhWbFWvz,[],[],beijing report nine new case june vs day earlier,,"[{'score': 0.741964, 'tone_id': 'confident', 'tone_name': 'Confident'}]",,,,1.0,,,
5249,loveandpeace_65,it takes more than love to make the world a better place but it's a start. chocolate for everyone!! -  mental health/lgbtq/equality/human rights,  canada,1677,1553,40959,2012-03-08 00:31:58,2020-06-21 03:32:19,309,if the coronavirus is the chinese virus guess obesity and racism is the american virus,[],[],coronavirus chinese virus guess obesity racism american virus,,"[{'score': 0.501485, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.88939, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]",1.0,,1.0,,,,
5250,iamgregk,i'm sick of evil considered good and good considered evil. done. with. it.,n.a,2129,1469,47872,2009-06-11 18:10:11,2020-06-20 01:52:56,1,"@iamgregk @Charles33359581 Did you hear the one about how we cured the corona virus? 

It's a riot. 🤣😋😜😂",[],"['@iamgregk', '@Charles33359581']","hear one cure corona virus 

it's riot","[{'sentence_id': 0, 'text': 'hear one cure corona virus ', 'tones': []}, {'sentence_id': 1, 'text': '', 'tones': []}, {'sentence_id': 2, 'text': ""it's riot"", 'tones': [{'score': 0.931034, 'tone_id': 'anger', 'tone_name': 'Anger'}, {'score': 0.931034, 'tone_id': 'fear', 'tone_name': 'Fear'}]}]",[],,,,,,,
5251,spaceco89187886,"i proudly voted for the chosen one who is 
#aquittedforever
#maga 🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸 #kag #wearethenewsnow #wwg1wga #qanon  #conservative,  i fb all patriots/trumpers",n.a,1634,1518,26859,2018-06-07 16:24:12,2020-06-20 02:01:02,7,"COVID FACTS
The virus can travel 6' it cannot go beyond 6'1, it can live on all surfaces except anything from Amazon, it does not live in Walmart, Home Depot, or any grocery store, it's only deadly in small businesses, churches &amp; Trump rallies, but it cannot harm you protesting",[],[],"covid facts
the virus travel cannot go beyond live surface except anything amazon live walmart home depot grocery store deadly small business church amp trump rally cannot harm protesting","[{'sentence_id': 0, 'text': 'covid facts', 'tones': [{'score': 0.997482, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.996934, 'tone_id': 'confident', 'tone_name': 'Confident'}]}, {'sentence_id': 1, 'text': 'the virus travel cannot go beyond live surface except anything amazon live walmart home depot grocery store deadly small business church amp trump rally cannot harm protesting', 'tones': []}]","[{'score': 0.86591, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",,,,,1.0,,
5252,marylispastit,"was once mlpast1620 .. now i'm not.  democrat .. loathe trump .. please no shout-outs, lists, tags etc .. follow if you want .. much older than i look ..",n.a,950,1065,120549,2019-09-26 21:25:02,2020-06-22 03:22:39,0,"But of course ~ @RonDeSantisFL is a fool as are those following this agenda~
Florida records over 4,000 new cases of COVID-19 in one day  https://t.co/PcEdsGa5b6",[],['@RonDeSantisFL'],"course fool follow agenda~
florida record new case one day","[{'sentence_id': 0, 'text': 'course fool follow agenda~', 'tones': []}, {'sentence_id': 1, 'text': 'florida record new case one day', 'tones': [{'score': 0.578834, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.620279, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}]","[{'score': 0.655978, 'tone_id': 'confident', 'tone_name': 'Confident'}, {'score': 0.596122, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",,,,1.0,1.0,,
5253,ptx_love_0845,n.a,united states,93,37,13414,2017-08-28 15:12:36,2020-06-20 03:10:50,25997,"Trump's rally in Tulsa is indoors, with no social distancing and no mask requirements—all in violation of CDC guidelines. Trump is willing to spread the COVID-19 virus in order to hear some cheers. He is a direct threat to the health of the American people. He must be defeated.",[],[],trump's rally tulsa indoors social distance mask requirements—all violation cdc guideline trump willing spread virus order hear cheer direct threat health american people must defeat,,"[{'score': 0.674728, 'tone_id': 'confident', 'tone_name': 'Confident'}, {'score': 0.642915, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",,,,1.0,1.0,,
5254,felix_curtis,https://t.co/diernquccv,"nairobi, kenya",783,2892,42867,2009-04-18 08:24:11,2020-06-22 03:21:24,26201,Lack of taste is a symptom of covid-19 https://t.co/o2txxNFLn3,[],[],lack taste symptom,,"[{'score': 0.955445, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",,,,,1.0,,
5255,KHagenJohnson,💙 biden/harris 2020 💙believer in equanimity and fighting those who don’t.,united states,2599,2576,11288,2010-08-26 15:07:43,2020-06-20 03:09:52,357,@realDonaldTrump @gtbynum Note to non-Trump supporters:  If you intend to go to Trump’s rally tomorrow please be 100% peaceful and please wear a mask to protect you from corona virus and tear gas.,[],"['@realDonaldTrump', '@gtbynum']",note non-trump supporter intend go trump’s rally tomorrow please peaceful please wear mask protect corona virus tear gas,,"[{'score': 0.781949, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",,,,,1.0,,
5256,CajunResist,"all that’s needed for evil to triumph, is for good men to do nothing. #1a #lsu #bluedot #resist #fbr retweets don’t imply agreement.",atlanta,4303,3407,71896,2008-11-06 23:42:22,2020-06-23 01:26:53,106,"Rep. Ted Lieu on Pres. Trump using a racist term to refer to Covid-19: “I’m not a virus. We know that there has been an increased number of hate crimes against Asian Americans across America. ... We are now at about 1,900 hate crimes across the country since the pandemic began.” https://t.co/1FvRqO6YB3",[],[],rep ted lieu pres trump use racist term refer “i’m virus know increase number hate crime asian american across america hate crime across country since pandemic began.”,,"[{'score': 0.574477, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",,,,,1.0,,
5257,billionnickles,black lives matter.,n.a,398,67,6036,2011-12-13 00:00:18,2020-06-21 03:16:21,0,the “chinese virus” has claimed more american lives than anywhere else. we should call it the “trump virus” since he’s the one letting it spread.,[],[],“chinese virus” claim american life anywhere else call “trump virus” since he’s one letting spread,,"[{'score': 0.504263, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.647986, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]",1.0,,1.0,,,,
5258,pardesipardesi,"mph. rexdale resident, south asian womyn of colour. passions: cbpr, homelessness, feminism & community development",toronto,403,458,1230,2010-08-07 19:06:38,2020-06-20 03:06:40,120,"1/3 Younger age groups make up a larger % of recent #COVID19 cases in 🇨🇦. Younger age groups may be going out more, which ↑ likelihood of coming into contact with the virus. No-one is immune to serious illness &amp; anyone can spread infection. 
https://t.co/hoKfQOJKiU",['covid19'],[],young age group make large recent case young age group may go likelihood come contact virus no-one immune serious illness amp anyone spread infection,,"[{'score': 0.81855, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]",,,1.0,,,,
5259,USAGDaegu,"usag daegu provides installation capability services and quality of life support to u.s. community members in area iv. our motto is ""make a difference.""","area iv, republic of korea",264,2772,11001,2009-08-03 04:50:56,2020-06-22 03:41:21,1,"AER can provide assistance for costs associated with remote learning due to COVID-19. If eligible, dependent children, grades K-12, may receive up to $500 per family. Assistance may be provided as a zero-interest loan, grant or combination. Visit https://t.co/RsN7lMwSrm for more. https://t.co/8eWhFkjQrX",[],[],aer provide assistance cost associate remote learning due eligible dependent child grade may receive per family assistance may provide zero-interest loan grant combination visit,,"[{'score': 0.75152, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]",,,1.0,,,,
5260,alb3rtxo,what war is this?,yay area ,219,229,1338,2017-07-28 02:09:38,2020-06-22 03:38:29,42918,"Trump had a bad night in Tulsa. Very low turnout. Even his supporters know that COVID-19 is real and dangerous, and should not be spread at an indoor rally. More importantly, maybe people are catching on that he is a pathological liar and a fraud. Let's keep fighting.",[],[],trump bad night tulsa low turnout even supporter know real dangerous spread indoor rally importantly maybe people catch pathological liar fraud let's keep fighting,,"[{'score': 0.615352, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]",,,1.0,,,,
5261,GByrdman2260,"playwright,composer,member of the dramatist guild. # uniteblue, #lgbtq, #globelwarming, liberal -progressive humanitarian. will rt ur special tweets!",n.a,1619,1512,9350,2014-05-16 04:15:04,2020-06-22 01:18:19,37604,"Trump had a bad night in Tulsa. Very low turnout. Even his supporters know that COVID-19 is real and dangerous, and should not be spread at an indoor rally. More importantly, maybe people are catching on that he is a pathological liar and a fraud. Let's keep fighting.",[],[],trump bad night tulsa low turnout even supporter know real dangerous spread indoor rally importantly maybe people catch pathological liar fraud let's keep fighting,,"[{'score': 0.615352, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]",,,1.0,,,,
5262,pslweb,a revolutionary socialist organization in the u.s. #justiceforgeorgefloyd: https://t.co/anc63w4vdx,united states,440,39328,9679,2009-04-01 22:34:31,2020-06-21 03:41:23,8,"American exceptionalism: racism, oppression, hypocrisy. San Quentin prison is already at 122% capacity – physical distancing is not possible, and 33 prisoners have already tested positive for the virus. More than 300 people came to demand No State Execution by Covid-19. https://t.co/WlBE373vgp",[],[],american exceptionalism racism oppression hypocrisy san quentin prison already capacity physical distancing possible prisoner already test positive virus people come demand state execution,,"[{'score': 0.55759, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]",1.0,,,,,,
5263,LoriHollins,"aspiring writer, professional nerd, amateur adult. #akf #youarenotalone #theresistance “no great mind has ever existed without a touch of madness.” #biden2020","41.726931° n , -49.948253° w",308,274,19799,2012-07-18 23:47:53,2020-06-22 02:32:29,13380,Just did another 12hr shift at the hospital and I’ll just reiterate for any dum-dums: COVID. ISN’T. GONE. Just cause you’re bored. Just cause it’s summer. Just cause you “did your time in isolation”. This virus doesn’t give a shit. It will claw back.,[],[],another shift hospital i’ll reiterate dum-dums covid isn’t go cause you’re bore cause it’s summer cause “did time isolation” virus doesn’t give shit claw back,,"[{'score': 0.541791, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]",1.0,,,,,,
5264,dahoodtable,"we are a pair of fun, outgoing, down to earth, hard work driven, laid back, laugh out loud, hilarious, sisters from another mister, straight from the hood!",n.a,13,15,197,2019-04-14 16:09:50,2020-06-22 03:40:05,0,"Comedian DL Hughley faints on Stage due to Covid-19 Coronavirus!! Just click the link below to watch! And don't forget to subscribe to Da Hood Table on YouTube, IG, FB &amp; Twitter!

#DLHughleyfainting #DLHughleyfaints #DLHughleyCovid19 #DLHughleyCoronavirus

https://t.co/pEQut5zjqp","['dlhughleyfainting', 'dlhughleyfaints', 'dlhughleycovid19', 'dlhughleycoronavirus']",[],"comedian dl hughley faint stage due coronavirus click link watch forget subscribe da hood table youtube ig fb amp twitter!

 

",,[],,,,,,,
5265,jb12617,"democrat, wonk, priest, debater,witness,audience,cynical optimist. want era enacted in my lifetime.writes under the ramblings of a 20th century space cadet.",iowa,743,855,173822,2012-05-28 17:01:36,2020-06-21 03:24:41,10341,6 members of Trump's Tulsa advance staff have tested positive for COVID-19. Each may have infected hundreds with the virus already.,[],[],member trump's tulsa advance staff test positive may infect hundred virus already,,[],,,,,,,
5266,zombieloni,"fighting crime, cheap polyester pants suits, and hoarding all things jrr tolkien!",gotham city,520,361,53600,2012-04-26 03:02:46,2020-06-22 03:42:11,223,"#BREAKING Largest single-day increase in worldwide #coronavirus cases reported on Sunday, WHO says https://t.co/Q38FDmp5Dc","['breaking', 'coronavirus']",[],large single-day increase worldwide case report sunday say,,"[{'score': 0.506763, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.780589, 'tone_id': 'confident', 'tone_name': 'Confident'}]",,,,1.0,1.0,,
5267,djrlandry,n.a,n.a,58,3,3514,2017-12-07 08:44:11,2020-06-22 03:20:54,0,@Stephe96 @LisaMirandoCNN @Acosta No he doesn't. He understands that he would be complicit in increasing illness from Covid-19.,[],"['@Stephe96', '@LisaMirandoCNN', '@Acosta']",understands would complicit increase illness,,"[{'score': 0.649139, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.882284, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",1.0,,,,1.0,,
5268,mayankdeshmukh8,n.a,n.a,597,312,60739,2013-04-27 00:40:22,2020-06-21 03:29:27,376,"“Because of the Chinese virus what happened about 3 months ago—it looked like we were in big trouble, and we were and I got it back together.” Trump at Tulsa rally. American media most upset with term 'Chinese virus', calling DT a racist. Also shows the disconnect b/w media &amp; ppl",[],[],“because chinese virus happen month ago—it look like big trouble get back together.” trump tulsa rally american medium upset term chinese virus call dt racist also show disconnect b/w medium amp ppl,"[{'sentence_id': 0, 'text': '“because chinese virus happen month ago—it look like big trouble get back together.”', 'tones': [{'score': 0.560098, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 1, 'text': 'trump tulsa rally american medium upset term chinese virus call dt racist also show disconnect b/w medium amp ppl', 'tones': []}]","[{'score': 0.50589, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]",,,1.0,,,,
5269,MaryAnn87821087,n.a,n.a,82,9,973,2020-03-27 16:25:13,2020-06-22 03:42:32,42825,"Trump had a bad night in Tulsa. Very low turnout. Even his supporters know that COVID-19 is real and dangerous, and should not be spread at an indoor rally. More importantly, maybe people are catching on that he is a pathological liar and a fraud. Let's keep fighting.",[],[],trump bad night tulsa low turnout even supporter know real dangerous spread indoor rally importantly maybe people catch pathological liar fraud let's keep fighting,,"[{'score': 0.615352, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]",,,1.0,,,,
5270,Mgrigaitis,n.a,"arizona, usa",103,83,4558,2009-12-10 18:42:47,2020-06-22 03:41:54,0,"@aznatyve @Garrett_Archer @520Athena The Arizona response to Covid-19. mandatory masking will help but we are getting close to hospitals stopping elective procedures. Once that happens, layoffs of healthcare providers &amp; ultimately demise of smaller hospitals. Economic consequences are bad.",[],"['@aznatyve', '@Garrett_Archer', '@520Athena']",arizona response mandatory mask help get close hospital stop elective procedure happen layoff healthcare provider amp ultimately demise small hospital economic consequence bad,,"[{'score': 0.703411, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.829929, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",1.0,,,,1.0,,
5271,Rajesh80405898,n.a,n.a,245,430,5267,2020-02-08 02:45:06,2020-06-22 03:37:41,473,India will overtake China; survive COVID-19 crisis: BJP MP Subramanian Swamy https://t.co/v0oHmrSWkU via @NewIndianXpress,[],['@NewIndianXpress'],india overtake china survive crisis bjp mp subramanian swamy via,,[],,,,,,,
5272,flemingct,"dad/husband from parkersburg, wv; iraq war vet; enjoy family time.","hurricane, wv",290,72,3738,2010-02-17 16:11:17,2020-06-21 03:27:48,128,More hang American flags than tear them down.There are more good cops than bad. There are more negative tests than positive corona virus tests. More people want to unite than divide. More want to acknowledge injustice than ignore. We are better than some want you to believe.,[],[],hang american flag tear down.there good cop bad negative test positive corona virus test people want unite divide want acknowledge injustice ignore well want believe,"[{'sentence_id': 0, 'text': 'hang american flag tear down.there', 'tones': [{'score': 0.551608, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}, {'sentence_id': 1, 'text': 'good cop bad negative test positive corona virus test people want unite divide want acknowledge injustice ignore well want believe', 'tones': [{'score': 0.578853, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.752368, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}]","[{'score': 0.648089, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.940365, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]",1.0,,1.0,,,,
5273,kimlara4444444,"wife, mom, gramma x5, dog lover, proud patriot, retired librarian, trump all day. maga, kag.i love people but walls help. thinker. hermit.",north coast calif from ohio,2855,798,4214,2018-04-16 03:51:55,2020-06-20 02:01:35,245,"The big difference between Latin America and the US is respect for the police and compliance with the law. Democrats states approved violence and lawlessness, regardless of the Chinese virus that kills Americans. #BidenpuppetofChina #ObamaGate @realDonaldTrump @AppSame @AmyKremer https://t.co/Vy587rTR7J",[],"['@realDonaldTrump', '@AppSame', '@AmyKremer']",big difference latin america respect police compliance law democrats state approve violence lawlessness regardless chinese virus kill american,,"[{'score': 0.793846, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",,,,,1.0,,
5274,Ownedbyc,"family, astronomy, basketball. stamps. maima is the love of my life #spurs","san antonio, tx",282,99,14257,2011-01-04 04:46:26,2020-06-22 03:23:38,34,"Don't use the state's reopening plan as an excuse to throw house parties or hold extensive gatherings.

We have yet to discover a COVID-19 cure or vaccine.

Wearing a mask seems so simple, but it can save lives.

Thank you, San Antonio.

9/9",[],[],"use state's reopen plan excuse throw house party hold extensive gatherings.

we yet discover cure vaccine.

wearing mask seem simple save lives.

thank san","[{'sentence_id': 0, 'text': ""use state's reopen plan excuse throw house party hold extensive gatherings."", 'tones': [{'score': 0.788547, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 1, 'text': 'we yet discover cure vaccine.', 'tones': [{'score': 0.970179, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 2, 'text': 'wearing mask seem simple save lives.', 'tones': [{'score': 0.58205, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.946222, 'tone_id': 'tentative', 'tone_name': 'Tentative'}, {'score': 0.920855, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 3, 'text': 'thank san', 'tones': [{'score': 0.595902, 'tone_id': 'joy', 'tone_name': 'Joy'}]}]","[{'score': 0.504679, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.865388, 'tone_id': 'tentative', 'tone_name': 'Tentative'}, {'score': 0.973758, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",,1.0,1.0,,1.0,,
5275,sadpandainabed,"music is the voice of the soul
(eat, sleep, contiplate life, repeat)",houston tx,730,143,7914,2012-10-04 00:57:44,2020-06-22 02:12:08,24569,Lack of taste is a symptom of covid-19 https://t.co/o2txxNFLn3,[],[],lack taste symptom,,"[{'score': 0.955445, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",,,,,1.0,,
5276,MelanieMinn,n.a,n.a,44,45,1367,2016-12-31 15:55:39,2020-06-20 01:58:46,22853,"Trump's rally in Tulsa is indoors, with no social distancing and no mask requirements—all in violation of CDC guidelines. Trump is willing to spread the COVID-19 virus in order to hear some cheers. He is a direct threat to the health of the American people. He must be defeated.",[],[],trump's rally tulsa indoors social distance mask requirements—all violation cdc guideline trump willing spread virus order hear cheer direct threat health american people must defeat,,"[{'score': 0.674728, 'tone_id': 'confident', 'tone_name': 'Confident'}, {'score': 0.642915, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",,,,1.0,1.0,,
5277,Artsy_Cartsy,"aspiring animator at kent state who's trying to make a sci-fi comic/cartoon called moonwalkers.
commissions are always open!
email: bedheadgmr@gmail.com",n.a,60,64,2525,2016-11-07 05:27:07,2020-06-21 04:11:50,98,"Tonight, Trump is back to calling COVID-19 the ""Chinese Virus"" after saying this months ago: ""Look, everyone knows it came out of China, but I decided we shouldn't make any more of a big deal out of it.""",[],[],tonight trump back call chinese virus say month ago look everyone know come china decide make big deal,,"[{'score': 0.660207, 'tone_id': 'confident', 'tone_name': 'Confident'}, {'score': 0.842108, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",,,,1.0,1.0,,
5278,democrateas,"etsu bucs 🏀
st louis cardinals ⚾ #timetofly
johnson city cardinals ⚾
titans 🏈","johnson city, tn",1195,271,16077,2017-12-13 03:35:49,2020-06-21 02:46:49,496,"“Kellyanne Conway...called reports of a White House official referring to COVID-19 as the ‘kung flu’ virus ‘HIGHLY OFFENSIVE’ ... ‘I'd like to know who they are. But hold on, you can't just say that and not name them. Tell us who it was.’”

March 18, 2020

https://t.co/Zi24Xrqyl1 https://t.co/Dq95baSzT6",[],[],"“kellyanne conway...called report white house official refer ‘kung flu’ virus ‘highly offensive’ ‘i'd like know hold can't say name tell was.’”

march","[{'sentence_id': 0, 'text': ""“kellyanne conway...called report white house official refer ‘kung flu’ virus ‘highly offensive’ ‘i'd like know hold can't say name tell was.’”"", 'tones': [{'score': 0.653099, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 1, 'text': '', 'tones': []}, {'sentence_id': 2, 'text': 'march', 'tones': []}]","[{'score': 0.816179, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",,,,,1.0,,
5279,dj_hymo,the fader // dancing astronaut @thefader @faderlabel @dancingastro,"new york, usa",475,199,343,2011-12-23 12:07:43,2020-06-21 02:39:42,487,"Breaking News: Covid Virus extremely confused at #TrumpRallyFail. ""I'm really disappointed,"" said virus, ""we were going to spread it like warm butter tonight."" Virus adds, ""We'll work with what we got.""",['trumprallyfail'],[],break news covid virus extremely confused i'm really disappoint say virus go spread like warm butter tonight virus add we'll work get,,"[{'score': 0.654326, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]",1.0,,,,,,
5280,DisneyFreaksRUs,🙇🏽‍♀️🥳🥴❤️ leo 🌹🇵🇷,n.a,180,306,22794,2011-06-15 17:17:15,2020-06-20 03:18:10,0,@shelbyjanexo Corona virus lol,[],['@shelbyjanexo'],corona virus lol,,"[{'score': 0.617004, 'tone_id': 'joy', 'tone_name': 'Joy'}]",,1.0,,,,,
5281,saxton,"bassoonist with @zephyroswinds, @wssymphony. associate professor & director of new music ensemble at @uncschoolofarts.",north carolina,188,1015,3404,2008-07-09 18:25:32,2020-06-20 02:57:44,25282,"Trump's rally in Tulsa is indoors, with no social distancing and no mask requirements—all in violation of CDC guidelines. Trump is willing to spread the COVID-19 virus in order to hear some cheers. He is a direct threat to the health of the American people. He must be defeated.",[],[],trump's rally tulsa indoors social distance mask requirements—all violation cdc guideline trump willing spread virus order hear cheer direct threat health american people must defeat,,"[{'score': 0.642915, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.674728, 'tone_id': 'confident', 'tone_name': 'Confident'}]",,,,1.0,1.0,,
5282,eftposAust,"eftpos is australia's own debit card system, accounting for about 2 billion chq & sav transactions in 2017, worth $130 billion.",australia,1062,1371,3131,2011-05-09 07:40:01,2020-06-22 02:11:33,0,"eftpos today launched an advertising campaign to promote a way that Australia’s small businesses may be able to reduce their costs as they rebuild after COVID-19.
https://t.co/eMlbXTsD63",[],[],eftpos today launch advertising campaign promote way australia’s small business may able reduce cost rebuild,,"[{'score': 0.647986, 'tone_id': 'tentative', 'tone_name': 'Tentative'}, {'score': 0.587989, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",,,1.0,,1.0,,
